Country/Region,Region,Year,CO2 Emissions,Energy Usage,GDP,Internet Usage,Mobile Phone Usage,Tourism Inbound,Tourism Outbound
Nepal,Asia,12/1/2000,3234,8108,$5B,0%,0%,$0B,$0B
Pakistan,Asia,12/1/2000,106449,64067,$74B,,0%,$1B,$1B
Philippines,Asia,12/1/2000,73307,39872,$81B,2%,8%,$2B,$2B
Singapore,Asia,12/1/2000,49006,18692,$96B,36%,70%,$5B,$5B
Sri Lanka,Asia,12/1/2000,10161,8327,$16B,1%,2%,$0B,$0B
Tajikistan,Asia,12/1/2000,2237,2149,$1B,0%,0%,,
Thailand,Asia,12/1/2000,188355,72284,$123B,4%,5%,$10B,$3B
Timor-Leste,Asia,12/1/2000,,,$0B,,,,
Turkmenistan,Asia,12/1/2000,35365,14871,$3B,0%,0%,,
Uzbekistan,Asia,12/1/2000,119951,50757,$14B,1%,0%,$0B,
Vietnam,Asia,12/1/2000,53645,28736,$34B,0%,1%,,
Albania,Europe,12/1/2000,3022,1763,$4B,0%,1%,$0B,$0B
Andorra,Europe,12/1/2000,524,,$1B,11%,36%,,
Austria,Europe,12/1/2000,63696,28558,$192B,34%,76%,$11B,$7B
Belarus,Europe,12/1/2000,53469,24695,$13B,2%,1%,$0B,$0B
Belgium,Europe,12/1/2000,115709,58508,$233B,29%,55%,$7B,$9B
Bosnia and Herzegovina,Europe,12/1/2000,23223,4346,$6B,1%,2%,$0B,$0B
Bulgaria,Europe,12/1/2000,43531,18688,$13B,5%,9%,$1B,$1B
Croatia,Europe,12/1/2000,19644,7790,$22B,7%,23%,$3B,$1B
Cyprus,Europe,12/1/2000,6850,2137,$9B,15%,23%,$2B,$1B
Czech Republic,Europe,12/1/2000,124649,40993,$59B,10%,42%,$3B,$1B
Denmark,Europe,12/1/2000,47260,18634,$160B,39%,63%,$4B,$5B
Estonia,Europe,12/1/2000,15181,4715,$6B,29%,41%,$1B,$0B
Faeroe Islands,Europe,12/1/2000,711,,$1B,33%,37%,,
Finland,Europe,12/1/2000,52141,32233,$122B,37%,72%,$2B,$2B
France,Europe,12/1/2000,365560,251981,"$1,330B",14%,49%,$39B,$27B
Germany,Europe,12/1/2000,829978,336584,"$1,890B",30%,58%,$25B,$58B
Greece,Europe,12/1/2000,91616,27086,$124B,9%,54%,$9B,$5B
Hungary,Europe,12/1/2000,57238,24999,$46B,7%,30%,$4B,$2B
Iceland,Europe,12/1/2000,2164,3100,$9B,45%,76%,$0B,$0B
Ireland,Europe,12/1/2000,41345,13574,$97B,18%,65%,$4B,$3B
Isle of Man,Europe,12/1/2000,,,$2B,,,,
Italy,Europe,12/1/2000,451441,171522,"$1,100B",23%,74%,$29B,$18B
Kosovo,Europe,12/1/2000,,1545,$2B,,,,
Latvia,Europe,12/1/2000,6241,3832,$8B,6%,17%,$0B,$0B
Liechtenstein,Europe,12/1/2000,,,$2B,37%,30%,,
Lithuania,Europe,12/1/2000,12200,7131,$11B,6%,15%,$0B,$0B
Luxembourg,Europe,12/1/2000,8240,3335,$20B,23%,70%,$2B,$1B
North Macedonia,Europe,12/1/2000,12064,2668,$4B,3%,6%,$0B,$0B
Malta,Europe,12/1/2000,2065,676,$4B,13%,28%,$1B,$0B
Moldova,Europe,12/1/2000,3513,2883,$1B,1%,3%,$0B,$0B
Monaco,Europe,12/1/2000,,,$3B,42%,43%,,
Montenegro,Europe,12/1/2000,,,$1B,,,,
Netherlands,Europe,12/1/2000,165363,73223,$385B,44%,68%,$11B,$14B
Norway,Europe,12/1/2000,38808,26092,$168B,52%,72%,$3B,$5B
Poland,Europe,12/1/2000,301691,89116,$171B,7%,18%,$6B,$3B
Portugal,Europe,12/1/2000,62966,24673,$117B,16%,65%,$6B,$3B
Romania,Europe,12/1/2000,89985,36228,$37B,4%,11%,$0B,$0B
Russia,Europe,12/1/2000,1558112,619265,$260B,2%,2%,$3B,$9B
San Marino,Europe,12/1/2000,,,$1B,49%,54%,,
Serbia,Europe,12/1/2000,,13728,$6B,,,,
Slovakia,Europe,12/1/2000,37312,17743,$29B,9%,23%,$0B,$0B
Slovenia,Europe,12/1/2000,14265,6413,$20B,15%,61%,$1B,$1B
Spain,Europe,12/1/2000,294434,121856,$580B,14%,60%,$33B,$8B
Sweden,Europe,12/1/2000,49794,47556,$247B,46%,72%,$5B,$9B
Switzerland,Europe,12/1/2000,39050,25005,$256B,47%,65%,$9B,$7B
Turkey,Europe,12/1/2000,216148,76348,$267B,4%,26%,$8B,$2B
Ukraine,Europe,12/1/2000,320774,133794,$31B,1%,2%,$1B,$1B
United Kingdom,Europe,12/1/2000,543662,222940,"$1,490B",27%,74%,$30B,$47B
Bahrain,Middle East,12/1/2000,18643,5865,$9B,6%,31%,$1B,$0B
Iran,Middle East,12/1/2000,372703,122983,$101B,1%,2%,$1B,$1B
Iraq,Middle East,12/1/2000,72445,25937,,,,$0B,$0B
Israel,Middle East,12/1/2000,62691,18234,$125B,21%,73%,$5B,$4B
Jordan,Middle East,12/1/2000,15508,4864,$8B,3%,8%,$1B,$0B
Kuwait,Middle East,12/1/2000,55181,18805,$38B,7%,25%,$0B,$3B
Lebanon,Middle East,12/1/2000,15354,4907,$17B,8%,23%,$1B,
Oman,Middle East,12/1/2000,21896,8083,$20B,4%,7%,$0B,$1B
Qatar,Middle East,12/1/2000,34730,10876,$18B,5%,20%,$0B,$0B
Saudi Arabia,Middle East,12/1/2000,296935,101325,$188B,2%,7%,,
Syria,Middle East,12/1/2000,51048,15765,$19B,0%,0%,$1B,$1B
United Arab Emirates,Middle East,12/1/2000,112562,33944,$104B,24%,47%,$1B,$3B
Yemen,Middle East,12/1/2000,14639,4747,$10B,0%,0%,$0B,$0B
American Samoa,Oceania,12/1/2000,,,,,4%,,
Australia,Oceania,12/1/2000,329605,108110,$415B,47%,45%,$13B,$9B
Fiji,Oceania,12/1/2000,865,,$2B,2%,7%,$0B,$0B
French Polynesia,Oceania,12/1/2000,631,,$3B,6%,17%,,
Guam,Oceania,12/1/2000,,,,16%,18%,,
Kiribati,Oceania,12/1/2000,33,,$0B,2%,0%,$0B,
Marshall Islands,Oceania,12/1/2000,77,,$0B,2%,1%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2000,136,,$0B,4%,,$0B,$0B
New Caledonia,Oceania,12/1/2000,2299,,$3B,14%,24%,$0B,
New Zealand,Oceania,12/1/2000,32897,17056,$52B,47%,40%,$2B,$1B
Papua New Guinea,Oceania,12/1/2000,2688,,$4B,1%,0%,$0B,$0B
Samoa,Oceania,12/1/2000,139,,$0B,1%,1%,$0B,
Solomon Islands,Oceania,12/1/2000,165,,$0B,1%,0%,$0B,$0B
Tonga,Oceania,12/1/2000,121,,$0B,2%,0%,$0B,
Vanuatu,Oceania,12/1/2000,81,,$0B,2%,0%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2000,345,,$1B,7%,28%,$0B,$0B
Argentina,The Americas,12/1/2000,141077,60954,$344B,7%,18%,$3B,$5B
Aruba,The Americas,12/1/2000,2233,,$2B,15%,17%,$1B,$0B
"Bahamas, The",The Americas,12/1/2000,1668,,$6B,8%,11%,$2B,$0B
Barbados,The Americas,12/1/2000,1188,,$3B,4%,11%,$1B,$0B
Belize,The Americas,12/1/2000,689,,$1B,6%,7%,$0B,$0B
Bermuda,The Americas,12/1/2000,495,,$3B,43%,21%,$0B,
Bolivia,The Americas,12/1/2000,10224,3737,$8B,1%,7%,$0B,$0B
Brazil,The Americas,12/1/2000,327984,187442,$645B,3%,13%,$2B,$5B
Canada,The Americas,12/1/2000,534484,251450,$739B,51%,28%,$13B,$15B
Cayman Islands,The Americas,12/1/2000,455,,,,26%,$1B,
Chile,The Americas,12/1/2000,58694,25174,$79B,17%,22%,$1B,$1B
Colombia,The Americas,12/1/2000,57924,25814,$100B,2%,6%,$1B,$1B
Costa Rica,The Americas,12/1/2000,5475,2874,$16B,6%,5%,$1B,$1B
Cuba,The Americas,12/1/2000,26039,12859,$31B,1%,0%,$2B,
Curacao,The Americas,12/1/2000,,,,,,$0B,
Dominica,The Americas,12/1/2000,103,,$0B,9%,2%,$0B,$0B
Dominican Republic,The Americas,12/1/2000,20117,7499,$24B,4%,8%,$3B,$0B
Ecuador,The Americas,12/1/2000,20942,7815,$18B,2%,4%,$0B,$0B
El Salvador,The Americas,12/1/2000,5743,3968,$13B,1%,13%,$0B,$0B
Greenland,The Americas,12/1/2000,532,,$1B,32%,27%,,
Grenada,The Americas,12/1/2000,191,,$1B,4%,4%,$0B,$0B
Guatemala,The Americas,12/1/2000,9916,7041,$19B,1%,8%,$0B,$0B
Guyana,The Americas,12/1/2000,1610,,$1B,7%,5%,$0B,$0B
Haiti,The Americas,12/1/2000,1368,2010,$4B,0%,1%,$0B,$0B
Honduras,The Americas,12/1/2000,5031,2990,$7B,1%,3%,$0B,$0B
Jamaica,The Americas,12/1/2000,10319,3829,$9B,3%,14%,$2B,$0B
Mexico,The Americas,12/1/2000,381518,145384,$684B,5%,14%,$9B,$6B
Nicaragua,The Americas,12/1/2000,3762,2522,$5B,1%,2%,$0B,$0B
Panama,The Americas,12/1/2000,5790,2569,$12B,7%,13%,$1B,$0B
Paraguay,The Americas,12/1/2000,3689,3850,$8B,1%,15%,$0B,$0B
Peru,The Americas,12/1/2000,30297,12222,$51B,3%,5%,$1B,$1B
Puerto Rico,The Americas,12/1/2000,,,$62B,11%,35%,$2B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2000,,,,,,$1B,$0B
St. Kitts and Nevis,The Americas,12/1/2000,103,,$0B,6%,3%,$0B,$0B
St. Lucia,The Americas,12/1/2000,330,,$1B,5%,2%,$0B,$0B
St. Martin (French part),The Americas,12/1/2000,,,,,,,
St. Vincent and the Grenadines,The Americas,12/1/2000,158,,$0B,3%,2%,$0B,$0B
Suriname,The Americas,12/1/2000,2127,,$1B,3%,9%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2000,24514,10854,$8B,8%,13%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2000,15,,,,,$0B,
United States,The Americas,12/1/2000,5713560,2273332,"$10,300B",43%,39%,$121B,$91B
Uruguay,The Americas,12/1/2000,5306,3092,$23B,11%,12%,$1B,$0B
Venezuela,The Americas,12/1/2000,152415,56424,$117B,3%,22%,$0B,$2B
Algeria,Africa,12/1/2001,84293,27072,$55B,1%,0%,$0B,$0B
Angola,Africa,12/1/2001,9732,7883,$9B,0%,1%,$0B,$0B
Benin,Africa,12/1/2001,1738,2109,$2B,0%,2%,$0B,$0B
Botswana,Africa,12/1/2001,4334,1868,$5B,3%,19%,$0B,$0B
Burkina Faso,Africa,12/1/2001,997,,$3B,0%,1%,$0B,$0B
Burundi,Africa,12/1/2001,216,,$1B,0%,1%,$0B,$0B
Cameroon,Africa,12/1/2001,3421,6384,$10B,0%,3%,$0B,$0B
Central African Republic,Africa,12/1/2001,246,,$1B,0%,0%,$0B,$0B
Chad,Africa,12/1/2001,172,,$2B,0%,0%,$0B,$0B
Comoros,Africa,12/1/2001,88,,$0B,0%,,$0B,
Congo (Kinshasa),Africa,12/1/2001,1566,17242,$7B,0%,0%,,
Congo (Brazzaville),Africa,12/1/2001,862,884,$3B,0%,5%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2001,7726,6483,$11B,0%,4%,$0B,$0B
Djibouti,Africa,12/1/2001,385,,$1B,0%,0%,$0B,$0B
Egypt,Africa,12/1/2001,125452,45698,$98B,1%,4%,$4B,$1B
Equatorial Guinea,Africa,12/1/2001,3095,,$1B,0%,3%,$0B,$0B
Eritrea,Africa,12/1/2001,631,742,$1B,0%,,$0B,
Ethiopia,Africa,12/1/2001,4309,26171,$8B,0%,0%,$0B,$0B
Gabon,Africa,12/1/2001,1782,1579,$5B,1%,12%,$0B,$0B
"Gambia, The",Africa,12/1/2001,282,,$1B,1%,4%,,
Ghana,Africa,12/1/2001,6920,8045,$5B,0%,1%,$0B,$0B
Guinea,Africa,12/1/2001,1298,,$3B,0%,1%,$0B,$0B
Guinea-Bissau,Africa,12/1/2001,150,,$0B,0%,,$0B,$0B
Kenya,Africa,12/1/2001,9369,14259,$13B,1%,2%,$1B,$0B
Lesotho,Africa,12/1/2001,,,$1B,0%,3%,$0B,$0B
Liberia,Africa,12/1/2001,502,,$1B,0%,0%,,
Libya,Africa,12/1/2001,48100,16361,$28B,0%,1%,$0B,$1B
Madagascar,Africa,12/1/2001,1742,,$5B,0%,1%,$0B,$0B
Malawi,Africa,12/1/2001,906,,$2B,0%,1%,$0B,$0B
Mali,Africa,12/1/2001,546,,$3B,0%,0%,$0B,$0B
Mauritania,Africa,12/1/2001,1349,,$1B,0%,4%,,
Mauritius,Africa,12/1/2001,2967,,$5B,9%,23%,$1B,$0B
Morocco,Africa,12/1/2001,37715,10894,$38B,1%,16%,$3B,$1B
Mozambique,Africa,12/1/2001,1580,7547,$4B,0%,1%,$0B,$0B
Namibia,Africa,12/1/2001,2017,1127,$4B,2%,6%,$0B,$0B
Niger,Africa,12/1/2001,759,,$2B,0%,0%,$0B,$0B
Nigeria,Africa,12/1/2001,83351,94633,$44B,0%,0%,$0B,$1B
Rwanda,Africa,12/1/2001,689,,$2B,0%,1%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2001,51,,$0B,6%,,$0B,$0B
Senegal,Africa,12/1/2001,4331,2592,$5B,1%,3%,$0B,$0B
Seychelles,Africa,12/1/2001,642,,$1B,11%,45%,$0B,$0B
Sierra Leone,Africa,12/1/2001,568,,$1B,0%,1%,$0B,$0B
Somalia,Africa,12/1/2001,502,,,0%,1%,,
South Africa,Africa,12/1/2001,362743,112399,$118B,6%,24%,$3B,$2B
South Sudan,Africa,12/1/2001,,,,,,,
Sudan,Africa,12/1/2001,6370,13988,$13B,0%,0%,$0B,$0B
Swaziland,Africa,12/1/2001,1144,,$1B,1%,5%,$0B,$0B
Tanzania,Africa,12/1/2001,3128,14203,$10B,0%,1%,$1B,$0B
Togo,Africa,12/1/2001,1162,2106,$1B,1%,2%,$0B,$0B
Tunisia,Africa,12/1/2001,20818,7711,$22B,4%,4%,$2B,$0B
Uganda,Africa,12/1/2001,1621,,$6B,0%,1%,$0B,
Zambia,Africa,12/1/2001,1907,6430,$4B,0%,1%,$0B,$0B
Zimbabwe,Africa,12/1/2001,12563,9690,$7B,1%,3%,$0B,
Afghanistan,Asia,12/1/2001,645,,$2B,0%,,,
Armenia,Asia,12/1/2001,3542,2006,$2B,2%,1%,$0B,$0B
Azerbaijan,Asia,12/1/2001,28771,11445,$6B,0%,9%,$0B,$0B
Bangladesh,Asia,12/1/2001,32457,20223,$47B,0%,0%,$0B,$0B
Bhutan,Asia,12/1/2001,389,,$0B,1%,,$0B,
Brunei,Asia,12/1/2001,6197,2208,$6B,13%,42%,$0B,$0B
Cambodia,Asia,12/1/2001,2252,3430,$4B,0%,2%,$0B,$0B
China,Asia,12/1/2001,3487566,1186797,"$1,320B",3%,11%,$19B,$15B
Georgia,Asia,12/1/2001,3770,2570,$3B,1%,6%,$0B,$0B
Hong Kong SAR,Asia,12/1/2001,37972,14145,$169B,39%,84%,$8B,$12B
India,Asia,12/1/2001,1203843,464501,$494B,1%,1%,$3B,$4B
Indonesia,Asia,12/1/2001,294907,158963,$160B,2%,3%,$5B,$3B
Japan,Asia,12/1/2001,1202266,510791,"$4,160B",39%,59%,$6B,$36B
Kazakhstan,Asia,12/1/2001,147908,34493,$22B,1%,4%,$1B,$1B
North Korea,Asia,12/1/2001,79475,20369,,,,,
South Korea,Asia,12/1/2001,450194,191046,$533B,57%,63%,$8B,$8B
Kyrgyzstan,Asia,12/1/2001,3781,2151,$2B,3%,1%,$0B,$0B
Laos,Asia,12/1/2001,902,,$2B,0%,1%,$0B,$0B
Macao SAR,Asia,12/1/2001,1687,,$7B,23%,44%,$4B,
Malaysia,Asia,12/1/2001,136717,49255,$93B,27%,31%,$8B,$3B
Maldives,Asia,12/1/2001,576,,$1B,4%,7%,$0B,$0B
Mongolia,Asia,12/1/2001,7884,2415,$1B,2%,8%,$0B,$0B
Myanmar,Asia,12/1/2001,8724,12547,,0%,0%,$0B,$0B
Nepal,Asia,12/1/2001,3454,8375,$6B,0%,0%,$0B,$0B
Pakistan,Asia,12/1/2001,108283,65091,$72B,1%,1%,$1B,$1B
Philippines,Asia,12/1/2001,71052,38202,$76B,3%,15%,$2B,$2B
Singapore,Asia,12/1/2001,49541,21229,$89B,42%,74%,$5B,$7B
Sri Lanka,Asia,12/1/2001,10246,8050,$16B,1%,4%,$0B,$0B
Tajikistan,Asia,12/1/2001,2292,2122,$1B,0%,0%,,
Thailand,Asia,12/1/2001,202132,74385,$116B,6%,12%,$9B,$3B
Timor-Leste,Asia,12/1/2001,,,$0B,,,,
Turkmenistan,Asia,12/1/2001,39270,15153,$4B,0%,0%,,
Uzbekistan,Asia,12/1/2001,122038,51070,$11B,1%,1%,$0B,
Vietnam,Asia,12/1/2001,61140,30646,$35B,1%,2%,,
Albania,Europe,12/1/2001,3223,1783,$4B,0%,12%,$0B,$0B
Andorra,Europe,12/1/2001,524,,$1B,,43%,,
Austria,Europe,12/1/2001,65716,30177,$192B,39%,81%,$12B,$7B
Belarus,Europe,12/1/2001,52596,24785,$12B,4%,1%,$0B,$0B
Belgium,Europe,12/1/2001,114766,58391,$232B,31%,75%,$8B,$11B
Bosnia and Herzegovina,Europe,12/1/2001,20700,4201,$6B,1%,12%,$0B,$0B
Bulgaria,Europe,12/1/2001,46454,19416,$14B,8%,20%,$1B,$1B
Croatia,Europe,12/1/2001,20715,7948,$23B,12%,40%,$3B,$1B
Cyprus,Europe,12/1/2001,6846,2114,$10B,19%,33%,$2B,$1B
Czech Republic,Europe,12/1/2001,124407,42078,$64B,15%,68%,$3B,$1B
Denmark,Europe,12/1/2001,49035,19203,$160B,43%,74%,$4B,$5B
Estonia,Europe,12/1/2001,15596,4919,$6B,32%,48%,$1B,$0B
Faeroe Islands,Europe,12/1/2001,792,,$1B,43%,52%,,
Finland,Europe,12/1/2001,56424,33150,$125B,43%,81%,$2B,$2B
France,Europe,12/1/2001,385827,260565,"$1,340B",26%,62%,$38B,$27B
Germany,Europe,12/1/2001,853663,346679,"$1,880B",32%,67%,$24B,$57B
Greece,Europe,12/1/2001,93806,28004,$130B,11%,72%,$9B,$4B
Hungary,Europe,12/1/2001,57022,25591,$53B,15%,49%,$4B,$2B
Iceland,Europe,12/1/2001,2101,3238,$8B,49%,87%,$0B,$0B
Ireland,Europe,12/1/2001,44151,14432,$105B,23%,77%,$4B,$3B
Isle of Man,Europe,12/1/2001,,,$2B,,,,
Italy,Europe,12/1/2001,450348,172142,"$1,120B",27%,90%,$27B,$17B
Kosovo,Europe,12/1/2001,,1902,$3B,,,,
Latvia,Europe,12/1/2001,6854,4111,$8B,7%,28%,$0B,$0B
Liechtenstein,Europe,12/1/2001,,,$2B,45%,33%,,
Lithuania,Europe,12/1/2001,12919,8277,$12B,7%,29%,$0B,$0B
Luxembourg,Europe,12/1/2001,8801,3509,$20B,36%,93%,$2B,$1B
North Macedonia,Europe,12/1/2001,11998,2577,$3B,4%,11%,$0B,$0B
Malta,Europe,12/1/2001,2486,787,$4B,18%,59%,$1B,$0B
Moldova,Europe,12/1/2001,3715,3052,$1B,2%,6%,$0B,$0B
Monaco,Europe,12/1/2001,,,$3B,47%,44%,,
Montenegro,Europe,12/1/2001,,,$1B,,,,
Netherlands,Europe,12/1/2001,167274,75614,$401B,49%,77%,$11B,$13B
Norway,Europe,12/1/2001,41092,26823,$171B,64%,80%,$2B,$5B
Poland,Europe,12/1/2001,302806,89733,$190B,10%,26%,$5B,$4B
Portugal,Europe,12/1/2001,62863,24815,$120B,18%,77%,$6B,$3B
Romania,Europe,12/1/2001,95672,36819,$41B,5%,17%,$0B,$0B
Russia,Europe,12/1/2001,1558013,626014,$307B,3%,5%,$5B,$10B
San Marino,Europe,12/1/2001,,,$1B,50%,58%,,
Serbia,Europe,12/1/2001,,14965,$11B,,,,
Slovakia,Europe,12/1/2001,39358,18593,$30B,13%,40%,$1B,$0B
Slovenia,Europe,12/1/2001,15163,6732,$20B,30%,74%,$1B,$1B
Spain,Europe,12/1/2001,297830,125038,$609B,18%,73%,$34B,$8B
Sweden,Europe,12/1/2001,51129,50532,$227B,52%,81%,$5B,$8B
Switzerland,Europe,12/1/2001,42963,26557,$263B,55%,73%,$9B,$7B
Turkey,Europe,12/1/2001,194538,70402,$196B,5%,31%,$10B,$2B
Ukraine,Europe,12/1/2001,321651,134096,$38B,1%,5%,$1B,$1B
United Kingdom,Europe,12/1/2001,550552,223770,"$1,490B",34%,78%,$26B,$46B
Bahrain,Middle East,12/1/2001,13927,6069,$9B,15%,43%,$1B,$0B
Iran,Middle East,12/1/2001,398827,133435,$115B,2%,3%,$1B,$1B
Iraq,Middle East,12/1/2001,85342,26935,,0%,,$0B,$0B
Israel,Middle East,12/1/2001,65749,19143,$123B,17%,90%,$3B,$4B
Jordan,Middle East,12/1/2001,16003,4818,$9B,5%,18%,$1B,$0B
Kuwait,Middle East,12/1/2001,55122,20067,$35B,9%,44%,$0B,$3B
Lebanon,Middle East,12/1/2001,16208,5258,$18B,7%,23%,$1B,
Oman,Middle East,12/1/2001,20286,8420,$20B,6%,14%,$1B,$1B
Qatar,Middle East,12/1/2001,30363,12452,$18B,6%,29%,$0B,$0B
Saudi Arabia,Middle East,12/1/2001,297214,106657,$183B,5%,12%,,
Syria,Middle East,12/1/2001,48786,15638,$21B,0%,1%,$1B,$1B
United Arab Emirates,Middle East,12/1/2001,101415,37365,$103B,26%,61%,$1B,$3B
Yemen,Middle East,12/1/2001,16252,5265,$10B,0%,1%,$0B,$0B
American Samoa,Oceania,12/1/2001,,,,,4%,,
Australia,Oceania,12/1/2001,324860,105751,$379B,53%,57%,$13B,$8B
