Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
China,Asia,12/1/2000,1.40%,0.256,0.675,0.069,"1,262.6M",35.90%
Georgia,Asia,12/1/2000,1.20%,0.219,0.656,0.125,4.4M,52.60%
Hong Kong SAR,Asia,12/1/2000,0.80%,0.173,0.717,0.11,6.7M,100.00%
India,Asia,12/1/2000,2.60%,0.342,0.614,0.044,"1,042.3M",27.70%
Indonesia,Asia,12/1/2000,2.20%,0.307,0.647,0.047,208.9M,42.00%
Japan,Asia,12/1/2000,0.90%,0.146,0.682,0.172,126.9M,78.60%
Kazakhstan,Asia,12/1/2000,1.50%,0.277,0.655,0.068,14.9M,55.70%
North Korea,Asia,12/1/2000,1.80%,0.26,0.681,0.059,22.8M,59.40%
South Korea,Asia,12/1/2000,1.30%,0.21,0.717,0.073,47.0M,79.60%
Kyrgyzstan,Asia,12/1/2000,2.00%,0.35,0.596,0.055,4.9M,35.30%
Laos,Asia,12/1/2000,3.10%,0.435,0.529,0.036,5.4M,22.00%
Macao SAR,Asia,12/1/2000,0.90%,0.228,0.698,0.074,0.4M,100.00%
Malaysia,Asia,12/1/2000,2.30%,0.333,0.628,0.038,23.4M,62.00%
Maldives,Asia,12/1/2000,2.50%,0.413,0.549,0.038,0.3M,27.70%
Mongolia,Asia,12/1/2000,1.90%,0.348,0.615,0.037,2.4M,57.10%
Myanmar,Asia,12/1/2000,2.10%,0.307,0.645,0.047,48.5M,27.00%
Nepal,Asia,12/1/2000,3.30%,0.404,0.558,0.038,23.2M,13.40%
Pakistan,Asia,12/1/2000,3.10%,0.415,0.546,0.039,143.8M,33.20%
Philippines,Asia,12/1/2000,3.00%,0.385,0.583,0.032,77.7M,48.00%
Singapore,Asia,12/1/2000,1.20%,0.215,0.712,0.073,4.0M,100.00%
Sri Lanka,Asia,12/1/2000,1.80%,0.269,0.669,0.063,19.1M,18.40%
Tajikistan,Asia,12/1/2000,3.00%,0.429,0.536,0.035,6.2M,26.50%
Thailand,Asia,12/1/2000,1.50%,0.242,0.693,0.066,62.3M,31.40%
Timor-Leste,Asia,12/1/2000,4.30%,0.498,0.479,0.024,0.9M,24.30%
Turkmenistan,Asia,12/1/2000,2.40%,0.363,0.594,0.043,4.5M,45.90%
Uzbekistan,Asia,12/1/2000,2.10%,0.373,0.584,0.043,24.7M,37.40%
Vietnam,Asia,12/1/2000,1.70%,0.316,0.62,0.064,77.6M,24.40%
Albania,Europe,12/1/2000,1.90%,0.303,0.628,0.068,3.1M,41.70%
Andorra,Europe,12/1/2000,1.10%,0,0,0,0.1M,92.40%
Austria,Europe,12/1/2000,1.00%,0.17,0.675,0.155,8.0M,65.80%
Belarus,Europe,12/1/2000,0.90%,0.186,0.679,0.134,10.0M,70.00%
Belgium,Europe,12/1/2000,1.10%,0.176,0.655,0.169,10.3M,97.10%
Bosnia and Herzegovina,Europe,12/1/2000,1.00%,0.202,0.691,0.107,3.8M,39.30%
Bulgaria,Europe,12/1/2000,0.90%,0.157,0.677,0.166,8.2M,68.90%
Croatia,Europe,12/1/2000,1.00%,0.172,0.673,0.156,4.4M,55.60%
Cyprus,Europe,12/1/2000,1.30%,0.224,0.674,0.102,0.9M,68.60%
Czech Republic,Europe,12/1/2000,0.90%,0.165,0.697,0.138,10.3M,74.00%
Denmark,Europe,12/1/2000,1.30%,0.185,0.667,0.149,5.3M,85.10%
Estonia,Europe,12/1/2000,1.00%,0.18,0.669,0.152,1.4M,69.40%
Faeroe Islands,Europe,12/1/2000,0,0,0,0,0.0M,36.30%
Finland,Europe,12/1/2000,1.10%,0.182,0.669,0.149,5.2M,82.20%
France,Europe,12/1/2000,1.30%,0.189,0.65,0.16,60.9M,75.90%
Germany,Europe,12/1/2000,0.90%,0.156,0.681,0.163,82.2M,73.10%
Greece,Europe,12/1/2000,1.00%,0.152,0.68,0.168,10.9M,72.70%
Hungary,Europe,12/1/2000,1.00%,0.168,0.68,0.151,10.2M,64.60%
Iceland,Europe,12/1/2000,1.40%,0.233,0.651,0.116,0.3M,92.40%
Ireland,Europe,12/1/2000,1.40%,0.218,0.67,0.112,3.8M,59.10%
Isle of Man,Europe,12/1/2000,0,0,0,0,0.1M,51.80%
Italy,Europe,12/1/2000,1.00%,0.143,0.674,0.183,56.9M,67.20%
Kosovo,Europe,12/1/2000,2.30%,0,0,0,1.7M,0
Latvia,Europe,12/1/2000,0.90%,0.179,0.671,0.15,2.4M,68.10%
Liechtenstein,Europe,12/1/2000,1.30%,0,0,0,0.0M,15.10%
Lithuania,Europe,12/1/2000,1.00%,0.199,0.662,0.139,3.5M,67.00%
Luxembourg,Europe,12/1/2000,1.30%,0.189,0.67,0.141,0.4M,84.20%
North Macedonia,Europe,12/1/2000,1.30%,0.224,0.676,0.1,2.1M,58.50%
Malta,Europe,12/1/2000,1.20%,0.207,0.686,0.107,0.4M,92.40%
Moldova,Europe,12/1/2000,1.20%,0.237,0.663,0.1,3.6M,45.80%
Monaco,Europe,12/1/2000,0,0,0,0,0.0M,100.00%
Montenegro,Europe,12/1/2000,1.30%,0.213,0.673,0.113,0.6M,58.50%
Netherlands,Europe,12/1/2000,1.30%,0.186,0.679,0.136,15.9M,76.80%
Norway,Europe,12/1/2000,1.30%,0.2,0.648,0.152,4.5M,76.10%
Poland,Europe,12/1/2000,1.00%,0.194,0.684,0.123,38.3M,61.70%
Portugal,Europe,12/1/2000,1.20%,0.162,0.676,0.162,10.3M,54.40%
Romania,Europe,12/1/2000,1.00%,0.186,0.68,0.134,22.4M,53.00%
Russia,Europe,12/1/2000,0.90%,0.182,0.694,0.124,146.6M,73.40%
San Marino,Europe,12/1/2000,0,0,0,0,0.0M,93.40%
Serbia,Europe,12/1/2000,1.00%,0.202,0.669,0.129,7.5M,53.20%
Slovakia,Europe,12/1/2000,1.00%,0.197,0.689,0.114,5.4M,56.20%
Slovenia,Europe,12/1/2000,0.90%,0.159,0.7,0.141,2.0M,50.80%
Spain,Europe,12/1/2000,1.00%,0.148,0.684,0.169,40.3M,76.30%
Sweden,Europe,12/1/2000,1.00%,0.184,0.643,0.173,8.9M,84.00%
Switzerland,Europe,12/1/2000,1.10%,0.174,0.673,0.153,7.2M,73.30%
Turkey,Europe,12/1/2000,2.10%,0.307,0.634,0.06,63.2M,64.70%
Ukraine,Europe,12/1/2000,0.80%,0.175,0.688,0.138,49.2M,67.10%
United Kingdom,Europe,12/1/2000,1.20%,0.19,0.652,0.158,58.9M,78.70%
Bahrain,Middle East,12/1/2000,2.10%,0.308,0.667,0.024,0.7M,88.40%
Iran,Middle East,12/1/2000,1.90%,0.347,0.611,0.042,65.9M,64.00%
Iraq,Middle East,12/1/2000,3.60%,0.428,0.537,0.035,23.8M,68.50%
Israel,Middle East,12/1/2000,2.20%,0.281,0.619,0.1,6.3M,91.20%
Jordan,Middle East,12/1/2000,3.10%,0.394,0.575,0.031,4.8M,79.80%
Kuwait,Middle East,12/1/2000,2.40%,0.257,0.712,0.031,1.9M,98.10%
Lebanon,Middle East,12/1/2000,1.90%,0.286,0.643,0.071,3.2M,86.00%
Oman,Middle East,12/1/2000,2.40%,0.372,0.605,0.023,2.2M,71.60%
Qatar,Middle East,12/1/2000,1.90%,0.259,0.724,0.017,0.6M,96.30%
Saudi Arabia,Middle East,12/1/2000,2.70%,0.384,0.581,0.035,20.1M,79.80%
Syria,Middle East,12/1/2000,3.00%,0.408,0.558,0.034,16.4M,51.90%
United Arab Emirates,Middle East,12/1/2000,1.70%,0.254,0.736,0.01,3.0M,80.20%
Yemen,Middle East,12/1/2000,3.90%,0.486,0.485,0.029,17.5M,26.30%
American Samoa,Oceania,12/1/2000,0,0,0,0,0.1M,88.60%
Australia,Oceania,12/1/2000,1.30%,0.207,0.669,0.124,19.2M,87.20%
Fiji,Oceania,12/1/2000,2.50%,0.351,0.615,0.034,0.8M,47.90%
French Polynesia,Oceania,12/1/2000,2.00%,0.318,0.64,0.043,0.2M,56.10%
Guam,Oceania,12/1/2000,2.20%,0.305,0.642,0.054,0.2M,93.10%
Kiribati,Oceania,12/1/2000,2.90%,0.399,0.567,0.034,0.1M,43.00%
Marshall Islands,Oceania,12/1/2000,0,0,0,0,0.1M,68.40%
"Micronesia, Fed. Sts.",Oceania,12/1/2000,3.00%,0.403,0.56,0.037,0.1M,22.30%
New Caledonia,Oceania,12/1/2000,2.10%,0.287,0.654,0.059,0.2M,61.80%
New Zealand,Oceania,12/1/2000,1.50%,0.227,0.655,0.118,3.9M,85.70%
Papua New Guinea,Oceania,12/1/2000,3.50%,0.402,0.573,0.025,5.4M,13.20%
Samoa,Oceania,12/1/2000,3.10%,0.407,0.548,0.045,0.2M,22.00%
Solomon Islands,Oceania,12/1/2000,3.60%,0.419,0.553,0.028,0.4M,15.80%
Tonga,Oceania,12/1/2000,2.80%,0.384,0.559,0.057,0.1M,23.00%
Vanuatu,Oceania,12/1/2000,3.20%,0.415,0.552,0.033,0.2M,21.70%
Antigua and Barbuda,The Americas,12/1/2000,2.00%,0.292,0.637,0.071,0.1M,32.10%
Argentina,The Americas,12/1/2000,1.90%,0.279,0.621,0.099,36.9M,89.10%
Aruba,The Americas,12/1/2000,1.40%,0.232,0.692,0.076,0.1M,46.70%
"Bahamas, The",The Americas,12/1/2000,1.80%,0.293,0.654,0.054,0.3M,82.00%
Barbados,The Americas,12/1/2000,1.30%,0.219,0.666,0.115,0.3M,33.80%
Belize,The Americas,12/1/2000,2.90%,0.402,0.555,0.043,0.2M,47.70%
Bermuda,The Americas,12/1/2000,1.40%,0,0,0,0.1M,100.00%
Bolivia,The Americas,12/1/2000,3.10%,0.398,0.56,0.042,8.5M,61.80%
Brazil,The Americas,12/1/2000,2.10%,0.296,0.649,0.055,174.5M,81.20%
Canada,The Americas,12/1/2000,1.10%,0.192,0.683,0.125,30.8M,79.50%
Cayman Islands,The Americas,12/1/2000,0,0,0,0,0.0M,100.00%
Chile,The Americas,12/1/2000,1.70%,0.278,0.65,0.072,15.5M,86.10%
Colombia,The Americas,12/1/2000,2.30%,0.328,0.624,0.047,39.9M,72.10%
Costa Rica,The Americas,12/1/2000,2.00%,0.315,0.631,0.055,3.9M,59.00%
Cuba,The Americas,12/1/2000,1.30%,0.216,0.685,0.099,11.1M,75.30%
Curacao,The Americas,12/1/2000,0,0.249,0.648,0.103,0.1M,90.80%
Dominica,The Americas,12/1/2000,0,0,0,0,0.1M,65.30%
Dominican Republic,The Americas,12/1/2000,2.50%,0.349,0.599,0.051,8.7M,61.70%
Ecuador,The Americas,12/1/2000,2.50%,0.345,0.604,0.051,12.5M,60.30%
El Salvador,The Americas,12/1/2000,2.50%,0.383,0.562,0.055,6.0M,58.90%
Greenland,The Americas,12/1/2000,1.60%,0,0,0,0.1M,81.60%
Grenada,The Americas,12/1/2000,1.90%,0.35,0.572,0.078,0.1M,35.90%
Guatemala,The Americas,12/1/2000,3.70%,0.441,0.519,0.04,11.2M,45.10%
Guyana,The Americas,12/1/2000,2.20%,0.354,0.602,0.045,0.7M,28.70%
Haiti,The Americas,12/1/2000,3.10%,0.403,0.557,0.04,8.6M,35.60%
Honduras,The Americas,12/1/2000,3.20%,0.424,0.537,0.039,6.2M,45.50%
Jamaica,The Americas,12/1/2000,2.10%,0.327,0.599,0.075,2.6M,51.80%
Mexico,The Americas,12/1/2000,2.40%,0.341,0.61,0.049,103.9M,74.70%
Nicaragua,The Americas,12/1/2000,2.80%,0.409,0.554,0.037,5.1M,54.70%
Panama,The Americas,12/1/2000,2.40%,0.321,0.623,0.055,3.1M,62.20%
Paraguay,The Americas,12/1/2000,2.80%,0.382,0.574,0.044,5.4M,55.30%
Peru,The Americas,12/1/2000,2.40%,0.341,0.611,0.048,26.0M,73.00%
Puerto Rico,The Americas,12/1/2000,1.60%,0.236,0.651,0.113,3.8M,94.40%
Sint Maarten (Dutch part),The Americas,12/1/2000,0,0,0,0,0.0M,100.00%
St. Kitts and Nevis,The Americas,12/1/2000,0,0,0,0,0.0M,32.80%
St. Lucia,The Americas,12/1/2000,2.00%,0.322,0.602,0.076,0.2M,27.80%
St. Martin (French part),The Americas,12/1/2000,1.70%,0,0,0,0.0M,0.00%
St. Vincent and the Grenadines,The Americas,12/1/2000,2.00%,0.314,0.616,0.069,0.1M,45.20%
Suriname,The Americas,12/1/2000,2.30%,0.306,0.637,0.057,0.5M,66.40%
Trinidad and Tobago,The Americas,12/1/2000,1.50%,0.256,0.679,0.065,1.3M,10.80%
Turks and Caicos Islands,The Americas,12/1/2000,0,0,0,0,0.0M,84.60%
United States,The Americas,12/1/2000,1.40%,0.213,0.663,0.124,282.2M,79.10%
Uruguay,The Americas,12/1/2000,1.60%,0.246,0.624,0.131,3.3M,92.00%
Venezuela,The Americas,12/1/2000,2.40%,0.337,0.617,0.046,24.4M,88.00%
Algeria,Africa,12/1/2001,1.90%,0.33,0.63,0.04,32.2M,60.70%
Angola,Africa,12/1/2001,5.00%,0.477,0.499,0.025,14.4M,33.20%
Benin,Africa,12/1/2001,4.20%,0.453,0.518,0.029,7.2M,38.70%
Botswana,Africa,12/1/2001,2.70%,0.377,0.593,0.03,1.8M,54.10%
Burkina Faso,Africa,12/1/2001,4.60%,0.467,0.506,0.027,11.9M,18.50%
Burundi,Africa,12/1/2001,4.20%,0.484,0.487,0.029,6.8M,8.50%
Cameroon,Africa,12/1/2001,4.10%,0.451,0.515,0.034,16.4M,46.10%
Central African Republic,Africa,12/1/2001,3.90%,0.422,0.538,0.04,3.7M,37.70%
Chad,Africa,12/1/2001,5.10%,0.491,0.481,0.028,8.6M,21.70%
Comoros,Africa,12/1/2001,3.90%,0.414,0.555,0.031,0.5M,28.00%
Congo (Kinshasa),Africa,12/1/2001,4.70%,0.464,0.507,0.028,48.2M,35.60%
Congo (Brazzaville),Africa,12/1/2001,3.90%,0.419,0.545,0.036,3.2M,59.20%
Cote d'Ivoire,Africa,12/1/2001,3.80%,0.421,0.55,0.029,16.4M,44.20%
Djibouti,Africa,12/1/2001,3.00%,0.407,0.562,0.031,0.7M,76.60%
Egypt,Africa,12/1/2001,2.50%,0.348,0.598,0.054,67.2M,42.80%
Equatorial Guinea,Africa,12/1/2001,3.90%,0.423,0.541,0.036,0.5M,38.80%
Eritrea,Africa,12/1/2001,4.00%,0.462,0.519,0.019,4.1M,17.80%
Ethiopia,Africa,12/1/2001,4.30%,0.466,0.504,0.031,68.0M,14.90%
Gabon,Africa,12/1/2001,3.40%,0.404,0.538,0.058,1.3M,80.90%
"Gambia, The",Africa,12/1/2001,4.50%,0.459,0.515,0.027,1.3M,48.80%
Ghana,Africa,12/1/2001,3.40%,0.412,0.557,0.031,19.3M,44.60%
Guinea,Africa,12/1/2001,4.20%,0.44,0.526,0.034,8.9M,31.40%
Guinea-Bissau,Africa,12/1/2001,4.10%,0.434,0.535,0.031,1.3M,37.50%
Kenya,Africa,12/1/2001,3.90%,0.438,0.534,0.028,32.1M,20.20%
Lesotho,Africa,12/1/2001,3.10%,0.41,0.545,0.046,1.9M,20.10%
Liberia,Africa,12/1/2001,4.20%,0.432,0.537,0.031,3.0M,44.70%
Libya,Africa,12/1/2001,2.20%,0.326,0.634,0.04,5.3M,76.40%
Madagascar,Africa,12/1/2001,4.00%,0.455,0.516,0.03,16.2M,27.40%
Malawi,Africa,12/1/2001,4.50%,0.46,0.51,0.03,11.6M,14.70%
Mali,Africa,12/1/2001,4.80%,0.461,0.505,0.034,10.6M,29.10%
Mauritania,Africa,12/1/2001,3.80%,0.426,0.543,0.032,2.8M,50.00%
Mauritius,Africa,12/1/2001,1.60%,0.255,0.683,0.063,1.2M,42.50%
Morocco,Africa,12/1/2001,2.10%,0.333,0.619,0.048,29.0M,53.70%
Mozambique,Africa,12/1/2001,4.50%,0.44,0.529,0.032,18.8M,29.30%
Namibia,Africa,12/1/2001,3.10%,0.403,0.564,0.033,1.9M,32.90%
Niger,Africa,12/1/2001,5.30%,0.481,0.494,0.025,11.4M,16.30%
Nigeria,Africa,12/1/2001,4.30%,0.435,0.538,0.028,126.0M,35.70%
Rwanda,Africa,12/1/2001,4.00%,0.464,0.507,0.029,8.8M,15.80%
Sao Tome and Principe,Africa,12/1/2001,3.70%,0.434,0.526,0.04,0.1M,54.40%
Senegal,Africa,12/1/2001,4.00%,0.449,0.519,0.032,10.1M,40.50%
Seychelles,Africa,12/1/2001,1.80%,0.275,0.645,0.08,0.1M,50.30%
Sierra Leone,Africa,12/1/2001,4.40%,0.429,0.547,0.024,4.3M,35.90%
Somalia,Africa,12/1/2001,4.80%,0.473,0.497,0.029,7.6M,33.60%
South Africa,Africa,12/1/2001,2.40%,0.325,0.64,0.036,44.9M,57.40%
South Sudan,Africa,12/1/2001,4.20%,0.446,0.523,0.031,6.9M,16.60%
Sudan,Africa,12/1/2001,3.90%,0.436,0.534,0.03,28.4M,32.50%
Swaziland,Africa,12/1/2001,3.20%,0.44,0.53,0.03,1.1M,22.60%
Tanzania,Africa,12/1/2001,4.20%,0.447,0.524,0.029,34.9M,22.70%
Togo,Africa,12/1/2001,3.90%,0.439,0.532,0.028,5.0M,33.40%
Tunisia,Africa,12/1/2001,1.70%,0.289,0.649,0.062,9.7M,63.80%
Uganda,Africa,12/1/2001,4.80%,0.493,0.48,0.027,25.1M,12.20%
Zambia,Africa,12/1/2001,4.50%,0.459,0.514,0.027,10.4M,35.00%
Zimbabwe,Africa,12/1/2001,3.20%,0.419,0.547,0.034,12.6M,34.20%
Afghanistan,Asia,12/1/2001,4.90%,0.495,0.484,0.02,21.3M,21.60%
Armenia,Asia,12/1/2001,1.30%,0.25,0.646,0.104,3.1M,64.40%
Azerbaijan,Asia,12/1/2001,1.40%,0.301,0.641,0.058,8.1M,51.60%
Bangladesh,Asia,12/1/2001,2.60%,0.364,0.595,0.041,134.7M,24.10%
Bhutan,Asia,12/1/2001,2.70%,0.393,0.568,0.039,0.6M,26.50%
Brunei,Asia,12/1/2001,2.20%,0.301,0.671,0.028,0.3M,71.70%
Cambodia,Asia,12/1/2001,2.70%,0.397,0.564,0.039,12.5M,18.70%
China,Asia,12/1/2001,1.30%,0.246,0.683,0.07,"1,271.9M",37.10%
Georgia,Asia,12/1/2001,1.20%,0.212,0.659,0.129,4.4M,52.40%
Hong Kong SAR,Asia,12/1/2001,0.70%,0.167,0.72,0.112,6.7M,100.00%
India,Asia,12/1/2001,2.50%,0.338,0.617,0.044,"1,059.5M",27.90%
Indonesia,Asia,12/1/2001,2.10%,0.304,0.649,0.047,212.0M,42.80%
Japan,Asia,12/1/2001,0.90%,0.144,0.679,0.177,127.1M,80.00%
Kazakhstan,Asia,12/1/2001,1.50%,0.271,0.661,0.069,14.9M,55.50%
North Korea,Asia,12/1/2001,1.70%,0.258,0.68,0.062,23.0M,59.50%
South Korea,Asia,12/1/2001,1.20%,0.206,0.717,0.077,47.4M,79.90%
Kyrgyzstan,Asia,12/1/2001,2.00%,0.342,0.602,0.055,4.9M,35.30%
Laos,Asia,12/1/2001,3.00%,0.43,0.533,0.036,5.5M,23.00%
Macao SAR,Asia,12/1/2001,0.80%,0.219,0.708,0.074,0.4M,100.00%
Malaysia,Asia,12/1/2001,2.20%,0.327,0.634,0.039,23.9M,62.90%
Maldives,Asia,12/1/2001,2.30%,0.399,0.561,0.039,0.3M,28.90%
Mongolia,Asia,12/1/2001,1.90%,0.336,0.627,0.037,2.4M,58.20%
Myanmar,Asia,12/1/2001,2.00%,0.301,0.651,0.048,48.9M,27.30%
Nepal,Asia,12/1/2001,3.20%,0.403,0.559,0.039,23.7M,14.00%
Pakistan,Asia,12/1/2001,3.00%,0.409,0.552,0.04,146.9M,33.40%
Philippines,Asia,12/1/2001,2.90%,0.382,0.585,0.033,79.3M,47.70%
Singapore,Asia,12/1/2001,1.20%,0.211,0.714,0.075,4.1M,100.00%
Sri Lanka,Asia,12/1/2001,1.80%,0.265,0.672,0.064,18.8M,18.40%
Tajikistan,Asia,12/1/2001,3.00%,0.421,0.543,0.036,6.3M,26.50%
Thailand,Asia,12/1/2001,1.40%,0.238,0.694,0.068,63.1M,32.60%
Timor-Leste,Asia,12/1/2001,4.10%,0.5,0.475,0.024,0.9M,24.60%
Turkmenistan,Asia,12/1/2001,2.30%,0.356,0.6,0.044,4.6M,46.10%
Uzbekistan,Asia,12/1/2001,2.10%,0.365,0.591,0.044,25.0M,37.30%
Vietnam,Asia,12/1/2001,1.70%,0.307,0.628,0.065,78.6M,24.90%
Albania,Europe,12/1/2001,1.80%,0.297,0.632,0.071,3.1M,42.40%
Andorra,Europe,12/1/2001,1.20%,0,0,0,0.1M,92.10%
Austria,Europe,12/1/2001,0.90%,0.168,0.676,0.156,8.0M,65.80%
Belarus,Europe,12/1/2001,0.90%,0.179,0.684,0.137,9.9M,70.50%
Belgium,Europe,12/1/2001,1.10%,0.175,0.655,0.17,10.3M,97.20%
Bosnia and Herzegovina,Europe,12/1/2001,1.00%,0.199,0.689,0.112,3.9M,39.30%
Bulgaria,Europe,12/1/2001,0.90%,0.152,0.68,0.168,8.0M,69.20%
Croatia,Europe,12/1/2001,0.90%,0.169,0.672,0.159,4.4M,55.70%
Cyprus,Europe,12/1/2001,1.30%,0.219,0.678,0.103,1.0M,68.80%
Czech Republic,Europe,12/1/2001,0.90%,0.161,0.7,0.139,10.2M,73.90%
Denmark,Europe,12/1/2001,1.20%,0.186,0.665,0.148,5.4M,85.20%
Estonia,Europe,12/1/2001,0.90%,0.174,0.671,0.155,1.4M,69.20%
Faeroe Islands,Europe,12/1/2001,0,0,0,0,0.0M,37.20%
Finland,Europe,12/1/2001,1.10%,0.18,0.669,0.151,5.2M,82.40%
France,Europe,12/1/2001,1.30%,0.188,0.651,0.161,61.4M,76.10%
Germany,Europe,12/1/2001,0.90%,0.154,0.679,0.168,82.3M,73.10%
Greece,Europe,12/1/2001,0.90%,0.15,0.678,0.172,11.0M,72.90%
Hungary,Europe,12/1/2001,1.00%,0.166,0.682,0.153,10.2M,64.70%
Iceland,Europe,12/1/2001,1.40%,0.23,0.653,0.116,0.3M,92.50%
Ireland,Europe,12/1/2001,1.50%,0.214,0.674,0.112,3.9M,59.40%
Isle of Man,Europe,12/1/2001,0,0,0,0,0.1M,51.80%
Italy,Europe,12/1/2001,0.90%,0.143,0.672,0.186,57.0M,67.30%
Kosovo,Europe,12/1/2001,2.20%,0,0,0,1.7M,0.00%
