Country/Region,Region,Year,Business Tax Rate,Days to Start Business,Ease of Business,Hours to do Tax,Lending Interest
Denmark,Europe,12/1/2000,0,0,0,0,0.081
Estonia,Europe,12/1/2000,0,0,0,0,0.074
Faeroe Islands,Europe,12/1/2000,0,0,0,0,0
Finland,Europe,12/1/2000,0,0,0,0,0.056
France,Europe,12/1/2000,0,0,0,0,0.067
Germany,Europe,12/1/2000,0,0,0,0,0.096
Greece,Europe,12/1/2000,0,0,0,0,0.123
Hungary,Europe,12/1/2000,0,0,0,0,0.126
Iceland,Europe,12/1/2000,0,0,0,0,0.168
Ireland,Europe,12/1/2000,0,0,0,0,0.048
Isle of Man,Europe,12/1/2000,0,0,0,0,0
Italy,Europe,12/1/2000,0,0,0,0,0.07
Kosovo,Europe,12/1/2000,0,0,0,0,0
Latvia,Europe,12/1/2000,0,0,0,0,0.119
Liechtenstein,Europe,12/1/2000,0,0,0,0,0
Lithuania,Europe,12/1/2000,0,0,0,0,0.121
Luxembourg,Europe,12/1/2000,0,0,0,0,0
North Macedonia,Europe,12/1/2000,0,0,0,0,0.189
Malta,Europe,12/1/2000,0,0,0,0,0.073
Moldova,Europe,12/1/2000,0,0,0,0,0.338
Monaco,Europe,12/1/2000,0,0,0,0,0
Montenegro,Europe,12/1/2000,0,0,0,0,0
Netherlands,Europe,12/1/2000,0,0,0,0,0.048
Norway,Europe,12/1/2000,0,0,0,0,0.089
Poland,Europe,12/1/2000,0,0,0,0,0.2
Portugal,Europe,12/1/2000,0,0,0,0,0
Romania,Europe,12/1/2000,0,0,0,0,0.539
Russia,Europe,12/1/2000,0,0,0,0,0.244
San Marino,Europe,12/1/2000,0,0,0,0,0.092
Serbia,Europe,12/1/2000,0,0,0,0,0.063
Slovakia,Europe,12/1/2000,0,0,0,0,0.149
Slovenia,Europe,12/1/2000,0,0,0,0,0.158
Spain,Europe,12/1/2000,0,0,0,0,0.052
Sweden,Europe,12/1/2000,0,0,0,0,0.058
Switzerland,Europe,12/1/2000,0,0,0,0,0.043
Turkey,Europe,12/1/2000,0,0,0,0,0
Ukraine,Europe,12/1/2000,0,0,0,0,0.415
United Kingdom,Europe,12/1/2000,0,0,0,0,0.06
Bahrain,Middle East,12/1/2000,0,0,0,0,0.116
Iran,Middle East,12/1/2000,0,0,0,0,0
Iraq,Middle East,12/1/2000,0,0,0,0,0
Israel,Middle East,12/1/2000,0,0,0,0,0.128
Jordan,Middle East,12/1/2000,0,0,0,0,0.118
Kuwait,Middle East,12/1/2000,0,0,0,0,0.089
Lebanon,Middle East,12/1/2000,0,0,0,0,0.182
Oman,Middle East,12/1/2000,0,0,0,0,0.101
Qatar,Middle East,12/1/2000,0,0,0,0,0
Saudi Arabia,Middle East,12/1/2000,0,0,0,0,0
Syria,Middle East,12/1/2000,0,0,0,0,0.09
United Arab Emirates,Middle East,12/1/2000,0,0,0,0,0.097
Yemen,Middle East,12/1/2000,0,0,0,0,0.195
American Samoa,Oceania,12/1/2000,0,0,0,0,0
Australia,Oceania,12/1/2000,0,0,0,0,0.093
Fiji,Oceania,12/1/2000,0,0,0,0,0.084
French Polynesia,Oceania,12/1/2000,0,0,0,0,0
Guam,Oceania,12/1/2000,0,0,0,0,0
Kiribati,Oceania,12/1/2000,0,0,0,0,0
Marshall Islands,Oceania,12/1/2000,0,0,0,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2000,0,0,0,0,0.153
New Caledonia,Oceania,12/1/2000,0,0,0,0,0
New Zealand,Oceania,12/1/2000,0,0,0,0,0.078
Papua New Guinea,Oceania,12/1/2000,0,0,0,0,0.175
Samoa,Oceania,12/1/2000,0,0,0,0,0
Solomon Islands,Oceania,12/1/2000,0,0,0,0,0.146
Tonga,Oceania,12/1/2000,0,0,0,0,0.113
Vanuatu,Oceania,12/1/2000,0,0,0,0,0.099
Antigua and Barbuda,The Americas,12/1/2000,0,0,0,0,0.122
Argentina,The Americas,12/1/2000,0,0,0,0,0.111
Aruba,The Americas,12/1/2000,0,0,0,0,0.121
"Bahamas, The",The Americas,12/1/2000,0,0,0,0,0.06
Barbados,The Americas,12/1/2000,0,0,0,0,0.102
Belize,The Americas,12/1/2000,0,0,0,0,0.16
Bermuda,The Americas,12/1/2000,0,0,0,0,0
Bolivia,The Americas,12/1/2000,0,0,0,0,0.346
Brazil,The Americas,12/1/2000,0,0,0,0,0.568
Canada,The Americas,12/1/2000,0,0,0,0,0.073
Cayman Islands,The Americas,12/1/2000,0,0,0,0,0
Chile,The Americas,12/1/2000,0,0,0,0,0.148
Colombia,The Americas,12/1/2000,0,0,0,0,0.188
Costa Rica,The Americas,12/1/2000,0,0,0,0,0.249
Cuba,The Americas,12/1/2000,0,0,0,0,0
Curacao,The Americas,12/1/2000,0,0,0,0,0
Dominica,The Americas,12/1/2000,0,0,0,0,0.117
Dominican Republic,The Americas,12/1/2000,0,0,0,0,0.268
Ecuador,The Americas,12/1/2000,0,0,0,0,0.171
El Salvador,The Americas,12/1/2000,0,0,0,0,0.14
Greenland,The Americas,12/1/2000,0,0,0,0,0
Grenada,The Americas,12/1/2000,0,0,0,0,0.116
Guatemala,The Americas,12/1/2000,0,0,0,0,0.209
Guyana,The Americas,12/1/2000,0,0,0,0,0.173
Haiti,The Americas,12/1/2000,0,0,0,0,0.314
Honduras,The Americas,12/1/2000,0,0,0,0,0.268
Jamaica,The Americas,12/1/2000,0,0,0,0,0.233
Mexico,The Americas,12/1/2000,0,0,0,0,0.169
Nicaragua,The Americas,12/1/2000,0,0,0,0,0.181
Panama,The Americas,12/1/2000,0,0,0,0,0.105
Paraguay,The Americas,12/1/2000,0,0,0,0,0.268
Peru,The Americas,12/1/2000,0,0,0,0,0.3
Puerto Rico,The Americas,12/1/2000,0,0,0,0,0
Sint Maarten (Dutch part),The Americas,12/1/2000,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2000,0,0,0,0,0.111
St. Lucia,The Americas,12/1/2000,0,0,0,0,0.131
St. Martin (French part),The Americas,12/1/2000,0,0,0,0,0
St. Vincent and the Grenadines,The Americas,12/1/2000,0,0,0,0,0.115
Suriname,The Americas,12/1/2000,0,0,0,0,0.29
Trinidad and Tobago,The Americas,12/1/2000,0,0,0,0,0.165
Turks and Caicos Islands,The Americas,12/1/2000,0,0,0,0,0
United States,The Americas,12/1/2000,0,0,0,0,0.092
Uruguay,The Americas,12/1/2000,0,0,0,0,0.461
Venezuela,The Americas,12/1/2000,0,0,0,0,0.252
Algeria,Africa,12/1/2001,0,0,0,0,0.095
Angola,Africa,12/1/2001,0,0,0,0,0.96
Benin,Africa,12/1/2001,0,0,0,0,0
Botswana,Africa,12/1/2001,0,0,0,0,0.158
Burkina Faso,Africa,12/1/2001,0,0,0,0,0
Burundi,Africa,12/1/2001,0,0,0,0,0.168
Cameroon,Africa,12/1/2001,0,0,0,0,0.207
Central African Republic,Africa,12/1/2001,0,0,0,0,0.207
Chad,Africa,12/1/2001,0,0,0,0,0.207
Comoros,Africa,12/1/2001,0,0,0,0,0.12
Congo (Kinshasa),Africa,12/1/2001,0,0,0,0,0
Congo (Brazzaville),Africa,12/1/2001,0,0,0,0,0.207
Cote d'Ivoire,Africa,12/1/2001,0,0,0,0,0
Djibouti,Africa,12/1/2001,0,0,0,0,0.115
Egypt,Africa,12/1/2001,0,0,0,0,0.133
Equatorial Guinea,Africa,12/1/2001,0,0,0,0,0.207
Eritrea,Africa,12/1/2001,0,0,0,0,0
Ethiopia,Africa,12/1/2001,0,0,0,0,0.109
Gabon,Africa,12/1/2001,0,0,0,0,0.207
"Gambia, The",Africa,12/1/2001,0,0,0,0,0.24
Ghana,Africa,12/1/2001,0,0,0,0,0
Guinea,Africa,12/1/2001,0,0,0,0,0
Guinea-Bissau,Africa,12/1/2001,0,0,0,0,0
Kenya,Africa,12/1/2001,0,0,0,0,0.197
Lesotho,Africa,12/1/2001,0,0,0,0,0.166
Liberia,Africa,12/1/2001,0,0,0,0,0.221
Libya,Africa,12/1/2001,0,0,0,0,0.07
Madagascar,Africa,12/1/2001,0,0,0,0,0.253
Malawi,Africa,12/1/2001,0,0,0,0,0.562
Mali,Africa,12/1/2001,0,0,0,0,0
Mauritania,Africa,12/1/2001,0,0,0,0,0.225
Mauritius,Africa,12/1/2001,0,0,0,0,0.211
Morocco,Africa,12/1/2001,0,0,0,0,0.133
Mozambique,Africa,12/1/2001,0,0,0,0,0.227
Namibia,Africa,12/1/2001,0,0,0,0,0.145
Niger,Africa,12/1/2001,0,0,0,0,0
Nigeria,Africa,12/1/2001,0,0,0,0,0.234
Rwanda,Africa,12/1/2001,0,0,0,0,0.173
Sao Tome and Principe,Africa,12/1/2001,0,0,0,0,0.37
Senegal,Africa,12/1/2001,0,0,0,0,0
Seychelles,Africa,12/1/2001,0,0,0,0,0.106
Sierra Leone,Africa,12/1/2001,0,0,0,0,0.243
Somalia,Africa,12/1/2001,0,0,0,0,0
South Africa,Africa,12/1/2001,0,0,0,0,0.138
South Sudan,Africa,12/1/2001,0,0,0,0,0
Sudan,Africa,12/1/2001,0,0,0,0,0
Swaziland,Africa,12/1/2001,0,0,0,0,0.133
Tanzania,Africa,12/1/2001,0,0,0,0,0.201
Togo,Africa,12/1/2001,0,0,0,0,0
Tunisia,Africa,12/1/2001,0,0,0,0,0
Uganda,Africa,12/1/2001,0,0,0,0,0.227
Zambia,Africa,12/1/2001,0,0,0,0,0.462
Zimbabwe,Africa,12/1/2001,0,0,0,0,0.38
Afghanistan,Asia,12/1/2001,0,0,0,0,0
Armenia,Asia,12/1/2001,0,0,0,0,0.267
Azerbaijan,Asia,12/1/2001,0,0,0,0,0.197
Bangladesh,Asia,12/1/2001,0,0,0,0,0.158
Bhutan,Asia,12/1/2001,0,0,0,0,0.158
Brunei,Asia,12/1/2001,0,0,0,0,0.055
Cambodia,Asia,12/1/2001,0,0,0,0,0
China,Asia,12/1/2001,0,0,0,0,0.059
Georgia,Asia,12/1/2001,0,0,0,0,0.223
Hong Kong SAR,Asia,12/1/2001,0,0,0,0,0.051
India,Asia,12/1/2001,0,0,0,0,0.121
Indonesia,Asia,12/1/2001,0,0,0,0,0.185
Japan,Asia,12/1/2001,0,0,0,0,0.02
Kazakhstan,Asia,12/1/2001,0,0,0,0,0
North Korea,Asia,12/1/2001,0,0,0,0,0
South Korea,Asia,12/1/2001,0,0,0,0,0.077
Kyrgyzstan,Asia,12/1/2001,0,0,0,0,0.373
Laos,Asia,12/1/2001,0,0,0,0,0.262
Macao SAR,Asia,12/1/2001,0,0,0,0,0.08
Malaysia,Asia,12/1/2001,0,0,0,0,0.071
Maldives,Asia,12/1/2001,0,0,0,0,0.13
Mongolia,Asia,12/1/2001,0,0,0,0,0.374
Myanmar,Asia,12/1/2001,0,0,0,0,0.15
Nepal,Asia,12/1/2001,0,0,0,0,0.077
Pakistan,Asia,12/1/2001,0,0,0,0,0
Philippines,Asia,12/1/2001,0,0,0,0,0.124
Singapore,Asia,12/1/2001,0,0,0,0,0.056
Sri Lanka,Asia,12/1/2001,0,0,0,0,0.194
Tajikistan,Asia,12/1/2001,0,0,0,0,0.211
Thailand,Asia,12/1/2001,0,0,0,0,0.073
Timor-Leste,Asia,12/1/2001,0,0,0,0,0
Turkmenistan,Asia,12/1/2001,0,0,0,0,0
Uzbekistan,Asia,12/1/2001,0,0,0,0,0
Vietnam,Asia,12/1/2001,0,0,0,0,0.094
Albania,Europe,12/1/2001,0,0,0,0,0.197
Andorra,Europe,12/1/2001,0,0,0,0,0
Austria,Europe,12/1/2001,0,0,0,0,0
Belarus,Europe,12/1/2001,0,0,0,0,0.47
Belgium,Europe,12/1/2001,0,0,0,0,0.085
Bosnia and Herzegovina,Europe,12/1/2001,0,0,0,0,0
Bulgaria,Europe,12/1/2001,0,0,0,0,0.111
Croatia,Europe,12/1/2001,0,0,0,0,0.095
Cyprus,Europe,12/1/2001,0,0,0,0,0.075
Czech Republic,Europe,12/1/2001,0,0,0,0,0.072
Denmark,Europe,12/1/2001,0,0,0,0,0.082
Estonia,Europe,12/1/2001,0,0,0,0,0.078
Faeroe Islands,Europe,12/1/2001,0,0,0,0,0
Finland,Europe,12/1/2001,0,0,0,0,0.058
France,Europe,12/1/2001,0,0,0,0,0.07
Germany,Europe,12/1/2001,0,0,0,0,0.1
Greece,Europe,12/1/2001,0,0,0,0,0.086
Hungary,Europe,12/1/2001,0,0,0,0,0.121
Iceland,Europe,12/1/2001,0,0,0,0,0.18
Ireland,Europe,12/1/2001,0,0,0,0,0.048
Isle of Man,Europe,12/1/2001,0,0,0,0,0
Italy,Europe,12/1/2001,0,0,0,0,0.073
Kosovo,Europe,12/1/2001,0,0,0,0,0
Latvia,Europe,12/1/2001,0,0,0,0,0.112
Liechtenstein,Europe,12/1/2001,0,0,0,0,0
Lithuania,Europe,12/1/2001,0,0,0,0,0.096
Luxembourg,Europe,12/1/2001,0,0,0,0,0
North Macedonia,Europe,12/1/2001,0,0,0,0,0.194
Malta,Europe,12/1/2001,0,0,0,0,0.069
Moldova,Europe,12/1/2001,0,0,0,0,0.287
Monaco,Europe,12/1/2001,0,0,0,0,0
Montenegro,Europe,12/1/2001,0,0,0,0,0
Netherlands,Europe,12/1/2001,0,0,0,0,0.05
Norway,Europe,12/1/2001,0,0,0,0,0.087
Poland,Europe,12/1/2001,0,0,0,0,0.184
Portugal,Europe,12/1/2001,0,0,0,0,0
Romania,Europe,12/1/2001,0,0,0,0,0.454
Russia,Europe,12/1/2001,0,0,0,0,0.179
San Marino,Europe,12/1/2001,0,0,0,0,0.088
Serbia,Europe,12/1/2001,0,0,0,0,0.345
Slovakia,Europe,12/1/2001,0,0,0,0,0.112
Slovenia,Europe,12/1/2001,0,0,0,0,0.151
Spain,Europe,12/1/2001,0,0,0,0,0.052
Sweden,Europe,12/1/2001,0,0,0,0,0.056
Switzerland,Europe,12/1/2001,0,0,0,0,0.043
Turkey,Europe,12/1/2001,0,0,0,0,0
Ukraine,Europe,12/1/2001,0,0,0,0,0.323
United Kingdom,Europe,12/1/2001,0,0,0,0,0.051
Bahrain,Middle East,12/1/2001,0,0,0,0,0.107
Iran,Middle East,12/1/2001,0,0,0,0,0
Iraq,Middle East,12/1/2001,0,0,0,0,0
Israel,Middle East,12/1/2001,0,0,0,0,0.1
Jordan,Middle East,12/1/2001,0,0,0,0,0.109
Kuwait,Middle East,12/1/2001,0,0,0,0,0.079
Lebanon,Middle East,12/1/2001,0,0,0,0,0.172
Oman,Middle East,12/1/2001,0,0,0,0,0.092
Qatar,Middle East,12/1/2001,0,0,0,0,0
Saudi Arabia,Middle East,12/1/2001,0,0,0,0,0
Syria,Middle East,12/1/2001,0,0,0,0,0.09
United Arab Emirates,Middle East,12/1/2001,0,0,0,0,0.081
Yemen,Middle East,12/1/2001,0,0,0,0,0.175
American Samoa,Oceania,12/1/2001,0,0,0,0,0
Australia,Oceania,12/1/2001,0,0,0,0,0.087
Fiji,Oceania,12/1/2001,0,0,0,0,0.083
French Polynesia,Oceania,12/1/2001,0,0,0,0,0
Guam,Oceania,12/1/2001,0,0,0,0,0
Kiribati,Oceania,12/1/2001,0,0,0,0,0
Marshall Islands,Oceania,12/1/2001,0,0,0,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2001,0,0,0,0,0.153
New Caledonia,Oceania,12/1/2001,0,0,0,0,0
New Zealand,Oceania,12/1/2001,0,0,0,0,0.076
Papua New Guinea,Oceania,12/1/2001,0,0,0,0,0.162
Samoa,Oceania,12/1/2001,0,0,0,0,0
Solomon Islands,Oceania,12/1/2001,0,0,0,0,0.146
Tonga,Oceania,12/1/2001,0,0,0,0,0.113
Vanuatu,Oceania,12/1/2001,0,0,0,0,0.088
Antigua and Barbuda,The Americas,12/1/2001,0,0,0,0,0.116
Argentina,The Americas,12/1/2001,0,0,0,0,0.277
Aruba,The Americas,12/1/2001,0,0,0,0,0.121
"Bahamas, The",The Americas,12/1/2001,0,0,0,0,0.06
Barbados,The Americas,12/1/2001,0,0,0,0,0.096
Belize,The Americas,12/1/2001,0,0,0,0,0.155
Bermuda,The Americas,12/1/2001,0,0,0,0,0
Bolivia,The Americas,12/1/2001,0,0,0,0,0.201
Brazil,The Americas,12/1/2001,0,0,0,0,0.576
Canada,The Americas,12/1/2001,0,0,0,0,0.058
Cayman Islands,The Americas,12/1/2001,0,0,0,0,0
Chile,The Americas,12/1/2001,0,0,0,0,0.119
Colombia,The Americas,12/1/2001,0,0,0,0,0.207
Costa Rica,The Americas,12/1/2001,0,0,0,0,0.238
Cuba,The Americas,12/1/2001,0,0,0,0,0
Curacao,The Americas,12/1/2001,0,0,0,0,0
Dominica,The Americas,12/1/2001,0,0,0,0,0.111
Dominican Republic,The Americas,12/1/2001,0,0,0,0,0.243
Ecuador,The Americas,12/1/2001,0,0,0,0,0.162
El Salvador,The Americas,12/1/2001,0,0,0,0,0
Greenland,The Americas,12/1/2001,0,0,0,0,0
Grenada,The Americas,12/1/2001,0,0,0,0,0.102
Guatemala,The Americas,12/1/2001,0,0,0,0,0.19
Guyana,The Americas,12/1/2001,0,0,0,0,0.17
Haiti,The Americas,12/1/2001,0,0,0,0,0.34
Honduras,The Americas,12/1/2001,0,0,0,0,0.238
Jamaica,The Americas,12/1/2001,0,0,0,0,0.206
Mexico,The Americas,12/1/2001,0,0,0,0,0.128
Nicaragua,The Americas,12/1/2001,0,0,0,0,0.186
Panama,The Americas,12/1/2001,0,0,0,0,0.11
Paraguay,The Americas,12/1/2001,0,0,0,0,0.283
Peru,The Americas,12/1/2001,0,0,0,0,0.25
Puerto Rico,The Americas,12/1/2001,0,0,0,0,0
Sint Maarten (Dutch part),The Americas,12/1/2001,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2001,0,0,0,0,0.111
St. Lucia,The Americas,12/1/2001,0,0,0,0,0.13
St. Martin (French part),The Americas,12/1/2001,0,0,0,0,0
St. Vincent and the Grenadines,The Americas,12/1/2001,0,0,0,0,0.116
Suriname,The Americas,12/1/2001,0,0,0,0,0.257
Trinidad and Tobago,The Americas,12/1/2001,0,0,0,0,0.157
Turks and Caicos Islands,The Americas,12/1/2001,0,0,0,0,0
United States,The Americas,12/1/2001,0,0,0,0,0.069
Uruguay,The Americas,12/1/2001,0,0,0,0,0.486
Venezuela,The Americas,12/1/2001,0,0,0,0,0.225
Algeria,Africa,12/1/2002,0,0,0,0,0.086
Angola,Africa,12/1/2002,0,0,0,0,0.973
Benin,Africa,12/1/2002,0,0,0,0,0
Botswana,Africa,12/1/2002,0,0,0,0,0.162
Burkina Faso,Africa,12/1/2002,0,0,0,0,0
Burundi,Africa,12/1/2002,0,0,0,0,0.195
Cameroon,Africa,12/1/2002,0,0,0,0,0.18
Central African Republic,Africa,12/1/2002,0,0,0,0,0.18
Chad,Africa,12/1/2002,0,0,0,0,0.18
Comoros,Africa,12/1/2002,0,0,0,0,0.12
Congo (Kinshasa),Africa,12/1/2002,0,0,0,0,0
Congo (Brazzaville),Africa,12/1/2002,0,0,0,0,0.18
Cote d'Ivoire,Africa,12/1/2002,0,0,0,0,0
Djibouti,Africa,12/1/2002,0,0,0,0,0.113
Egypt,Africa,12/1/2002,0,0,0,0,0.138
Equatorial Guinea,Africa,12/1/2002,0,0,0,0,0.18
Eritrea,Africa,12/1/2002,0,0,0,0,0
Ethiopia,Africa,12/1/2002,0,0,0,0,0.087
Gabon,Africa,12/1/2002,0,0,0,0,0.18
"Gambia, The",Africa,12/1/2002,0,0,0,0,0.24
Ghana,Africa,12/1/2002,0,0,0,0,0
Guinea,Africa,12/1/2002,0,0,0,0,0
Guinea-Bissau,Africa,12/1/2002,0,0,0,0,0
Kenya,Africa,12/1/2002,0,0,0,0,0.185
Lesotho,Africa,12/1/2002,0,0,0,0,0.171
Liberia,Africa,12/1/2002,0,0,0,0,0.202
Libya,Africa,12/1/2002,0,0,0,0,0.07
Madagascar,Africa,12/1/2002,0,0,0,0,0.253
Malawi,Africa,12/1/2002,0,0,0,0,0.505
Mali,Africa,12/1/2002,0,0,0,0,0
Mauritania,Africa,12/1/2002,0,0,0,0,0.21
Mauritius,Africa,12/1/2002,0,0,0,0,0.21
Morocco,Africa,12/1/2002,0,0,0,0,0.131
Mozambique,Africa,12/1/2002,0,0,0,0,0.267
Namibia,Africa,12/1/2002,0,0,0,0,0.138
Niger,Africa,12/1/2002,0,0,0,0,0
Nigeria,Africa,12/1/2002,0,0,0,0,0.248
Rwanda,Africa,12/1/2002,0,0,0,0,0.164
Sao Tome and Principe,Africa,12/1/2002,0,0,0,0,0.374
Senegal,Africa,12/1/2002,0,0,0,0,0
Seychelles,Africa,12/1/2002,0,0,0,0,0.106
Sierra Leone,Africa,12/1/2002,0,0,0,0,0.222
Somalia,Africa,12/1/2002,0,0,0,0,0
South Africa,Africa,12/1/2002,0,0,0,0,0.158
South Sudan,Africa,12/1/2002,0,0,0,0,0
Sudan,Africa,12/1/2002,0,0,0,0,0
Swaziland,Africa,12/1/2002,0,0,0,0,0.153
Tanzania,Africa,12/1/2002,0,0,0,0,0.164
Togo,Africa,12/1/2002,0,0,0,0,0
Tunisia,Africa,12/1/2002,0,0,0,0,0
Uganda,Africa,12/1/2002,0,0,0,0,0.191
Zambia,Africa,12/1/2002,0,0,0,0,0.452
Zimbabwe,Africa,12/1/2002,0,0,0,0,0.365
Afghanistan,Asia,12/1/2002,0,0,0,0,0
Armenia,Asia,12/1/2002,0,0,0,0,0.211
Azerbaijan,Asia,12/1/2002,0,0,0,0,0.174
Bangladesh,Asia,12/1/2002,0,0,0,0,0.16
Bhutan,Asia,12/1/2002,0,0,0,0,0.153
Brunei,Asia,12/1/2002,0,0,0,0,0.055
Cambodia,Asia,12/1/2002,0,0,0,0,0
China,Asia,12/1/2002,0,0,0,0,0.053
Georgia,Asia,12/1/2002,0,0,0,0,0.236
Hong Kong SAR,Asia,12/1/2002,0,0,0,0,0.05
India,Asia,12/1/2002,0,0,0,0,0.119
Indonesia,Asia,12/1/2002,0,0,0,0,0.189
Japan,Asia,12/1/2002,0,0,0,0,0.019
Kazakhstan,Asia,12/1/2002,0,0,0,0,0
North Korea,Asia,12/1/2002,0,0,0,0,0
