Country/Region,Region,Year,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Life Expectancy Female,Life Expectancy Male
Liechtenstein,Europe,12/1/2000,0,0,0,80,74
Lithuania,Europe,12/1/2000,6.50%,$212 ,0.01,78,67
Luxembourg,Europe,12/1/2000,7.50%,"$3,495 ",0.004,81,75
North Macedonia,Europe,12/1/2000,8.70%,$153 ,0.014,76,71
Malta,Europe,12/1/2000,6.60%,$643 ,0.007,80,76
Moldova,Europe,12/1/2000,6.70%,$24 ,0.025,71,63
Monaco,Europe,12/1/2000,3.30%,"$2,685 ",0.004,0,0
Montenegro,Europe,12/1/2000,7.50%,$121 ,0.013,77,71
Netherlands,Europe,12/1/2000,8.00%,"$1,932 ",0.005,81,76
Norway,Europe,12/1/2000,9.10%,"$3,432 ",0.004,81,76
Poland,Europe,12/1/2000,5.50%,$247 ,0.008,78,70
Portugal,Europe,12/1/2000,9.30%,"$1,070 ",0.006,80,73
Romania,Europe,12/1/2000,4.30%,$72 ,0.023,75,68
Russia,Europe,12/1/2000,5.40%,$96 ,0.02,72,59
San Marino,Europe,12/1/2000,5.30%,"$2,161 ",0.005,84,77
Serbia,Europe,12/1/2000,7.40%,$51 ,0.011,75,70
Slovakia,Europe,12/1/2000,5.50%,$208 ,0.01,77,69
Slovenia,Europe,12/1/2000,8.30%,$831 ,0.005,79,72
Spain,Europe,12/1/2000,7.20%,"$1,045 ",0.005,83,76
Sweden,Europe,12/1/2000,8.20%,"$2,282 ",0.003,82,77
Switzerland,Europe,12/1/2000,9.90%,"$3,541 ",0.005,83,77
Turkey,Europe,12/1/2000,4.90%,$196 ,0.034,74,66
Ukraine,Europe,12/1/2000,5.60%,$36 ,0.016,74,62
United Kingdom,Europe,12/1/2000,7.00%,"$1,761 ",0.006,80,75
Bahrain,Middle East,12/1/2000,3.50%,$476 ,0.011,76,74
Iran,Middle East,12/1/2000,4.60%,$231 ,0.029,71,69
Iraq,Middle East,12/1/2000,0.80%,$7 ,0.036,73,69
Israel,Middle East,12/1/2000,7.40%,"$1,454 ",0.006,81,77
Jordan,Middle East,12/1/2000,9.70%,$171 ,0.023,73,70
Kuwait,Middle East,12/1/2000,2.50%,$494 ,0.011,74,72
Lebanon,Middle East,12/1/2000,10.90%,$579 ,0.017,76,73
Oman,Middle East,12/1/2000,3.10%,$264 ,0.014,74,70
Qatar,Middle East,12/1/2000,2.20%,$652 ,0.011,78,76
Saudi Arabia,Middle East,12/1/2000,4.20%,$398 ,0.019,74,71
Syria,Middle East,12/1/2000,4.90%,$59 ,0.02,75,72
United Arab Emirates,Middle East,12/1/2000,2.20%,$752 ,0.01,75,73
Yemen,Middle East,12/1/2000,4.10%,$25 ,0.069,62,59
American Samoa,Oceania,12/1/2000,0,0,0,0,0
Australia,Oceania,12/1/2000,8.10%,"$1,713 ",0.005,82,77
Fiji,Oceania,12/1/2000,3.90%,$80 ,0.021,70,65
French Polynesia,Oceania,12/1/2000,0,0,0,75,70
Guam,Oceania,12/1/2000,0,0,0,78,73
Kiribati,Oceania,12/1/2000,7.90%,$65 ,0.054,68,62
Marshall Islands,Oceania,12/1/2000,22.50%,$466 ,0.034,68,63
"Micronesia, Fed. Sts.",Oceania,12/1/2000,7.80%,$170 ,0.042,68,67
New Caledonia,Oceania,12/1/2000,0,0,0,78,72
New Zealand,Oceania,12/1/2000,7.60%,"$1,052 ",0.006,81,76
Papua New Guinea,Oceania,12/1/2000,4.00%,$26 ,0.058,61,57
Samoa,Oceania,12/1/2000,6.00%,$80 ,0.019,73,66
Solomon Islands,Oceania,12/1/2000,4.60%,$48 ,0.028,64,62
Tonga,Oceania,12/1/2000,4.80%,$92 ,0.015,73,69
Vanuatu,Oceania,12/1/2000,3.60%,$52 ,0.02,69,66
Antigua and Barbuda,The Americas,12/1/2000,4.00%,$408 ,0.014,76,71
Argentina,The Americas,12/1/2000,9.20%,$710 ,0.018,78,70
Aruba,The Americas,12/1/2000,0,0,0,76,71
"Bahamas, The",The Americas,12/1/2000,5.20%,"$1,107 ",0.013,75,69
Barbados,The Americas,12/1/2000,6.30%,$602 ,0.015,75,71
Belize,The Americas,12/1/2000,4.00%,$139 ,0.021,74,67
Bermuda,The Americas,12/1/2000,0,0,0,81,75
Bolivia,The Americas,12/1/2000,6.10%,$60 ,0.057,65,61
Brazil,The Americas,12/1/2000,7.20%,$265 ,0.029,74,67
Canada,The Americas,12/1/2000,8.80%,"$2,090 ",0.005,82,77
Cayman Islands,The Americas,12/1/2000,0,0,0,0,0
Chile,The Americas,12/1/2000,7.70%,$390 ,0.009,80,74
Colombia,The Americas,12/1/2000,5.90%,$148 ,0.021,75,67
Costa Rica,The Americas,12/1/2000,7.10%,$287 ,0.011,80,75
Cuba,The Americas,12/1/2000,6.10%,$166 ,0.007,79,75
Curacao,The Americas,12/1/2000,0,0,0,0,0
Dominica,The Americas,12/1/2000,5.00%,$231 ,0.014,0,0
Dominican Republic,The Americas,12/1/2000,6.30%,$173 ,0.033,74,68
Ecuador,The Americas,12/1/2000,3.60%,$53 ,0.028,76,71
El Salvador,The Americas,12/1/2000,8.10%,$179 ,0.027,74,65
Greenland,The Americas,12/1/2000,0,0,0,70,64
Grenada,The Americas,12/1/2000,6.60%,$339 ,0.014,73,68
Guatemala,The Americas,12/1/2000,5.60%,$96 ,0.04,71,64
Guyana,The Americas,12/1/2000,5.80%,$56 ,0.039,67,60
Haiti,The Americas,12/1/2000,6.10%,$26 ,0.075,59,56
Honduras,The Americas,12/1/2000,6.60%,$76 ,0.031,73,68
Jamaica,The Americas,12/1/2000,5.50%,$189 ,0.02,73,68
Mexico,The Americas,12/1/2000,5.10%,$328 ,0.022,77,72
Nicaragua,The Americas,12/1/2000,5.40%,$54 ,0.033,72,67
Panama,The Americas,12/1/2000,7.80%,$295 ,0.022,78,73
Paraguay,The Americas,12/1/2000,8.10%,$124 ,0.028,72,68
Peru,The Americas,12/1/2000,4.70%,$96 ,0.03,73,68
Puerto Rico,The Americas,12/1/2000,0,0,0,81,73
Sint Maarten (Dutch part),The Americas,12/1/2000,0,0,0,0,0
St. Kitts and Nevis,The Americas,12/1/2000,4.30%,$392 ,0.014,0,0
St. Lucia,The Americas,12/1/2000,5.60%,$272 ,0.015,73,70
St. Martin (French part),The Americas,12/1/2000,0,0,0,80,74
St. Vincent and the Grenadines,The Americas,12/1/2000,3.70%,$137 ,0.019,73,68
Suriname,The Americas,12/1/2000,8.70%,$167 ,0.03,71,65
Trinidad and Tobago,The Americas,12/1/2000,4.00%,$260 ,0.025,72,65
Turks and Caicos Islands,The Americas,12/1/2000,0,0,0,0,0
United States,The Americas,12/1/2000,13.60%,"$4,790 ",0.007,79,74
Uruguay,The Americas,12/1/2000,11.20%,$773 ,0.015,78,71
Venezuela,The Americas,12/1/2000,5.70%,$273 ,0.018,75,70
Algeria,Africa,12/1/2001,3.80%,$65 ,0.033,71,68
Angola,Africa,12/1/2001,5.80%,$36 ,0.127,47,45
Benin,Africa,12/1/2001,4.70%,$16 ,0.088,57,54
Botswana,Africa,12/1/2001,5.20%,$175 ,0.054,51,48
Burkina Faso,Africa,12/1/2001,4.90%,$12 ,0.095,52,50
Burundi,Africa,12/1/2001,6.80%,$7 ,0.089,50,47
Cameroon,Africa,12/1/2001,4.70%,$27 ,0.09,53,51
Central African Republic,Africa,12/1/2001,4.00%,$10 ,0.113,45,42
Chad,Africa,12/1/2001,6.00%,$12 ,0.105,48,46
Comoros,Africa,12/1/2001,2.80%,$11 ,0.073,60,57
Congo (Kinshasa),Africa,12/1/2001,4.30%,$6 ,0.114,48,45
Congo (Brazzaville),Africa,12/1/2001,2.40%,$21 ,0.075,54,51
Cote d'Ivoire,Africa,12/1/2001,5.20%,$34 ,0.098,47,46
Djibouti,Africa,12/1/2001,5.40%,$41 ,0.078,59,56
Egypt,Africa,12/1/2001,5.80%,$76 ,0.034,71,66
Equatorial Guinea,Africa,12/1/2001,1.50%,$50 ,0.096,49,47
Eritrea,Africa,12/1/2001,3.90%,$7 ,0.056,59,54
Ethiopia,Africa,12/1/2001,4.70%,$6 ,0.087,54,52
Gabon,Africa,12/1/2001,3.30%,$125 ,0.055,61,58
"Gambia, The",Africa,12/1/2001,4.60%,$25 ,0.062,57,54
Ghana,Africa,12/1/2001,5.60%,$15 ,0.063,58,56
Guinea,Africa,12/1/2001,5.90%,$19 ,0.099,51,51
Guinea-Bissau,Africa,12/1/2001,5.00%,$15 ,0.106,53,51
Kenya,Africa,12/1/2001,4.60%,$19 ,0.068,54,52
Lesotho,Africa,12/1/2001,7.50%,$28 ,0.082,46,45
Liberia,Africa,12/1/2001,6.40%,$11 ,0.112,53,52
Libya,Africa,12/1/2001,4.10%,$261 ,0.024,74,71
Madagascar,Africa,12/1/2001,5.00%,$14 ,0.067,60,58
Malawi,Africa,12/1/2001,5.10%,$8 ,0.097,46,46
Mali,Africa,12/1/2001,6.40%,$18 ,0.113,49,50
Mauritania,Africa,12/1/2001,4.80%,$19 ,0.076,61,58
Mauritius,Africa,12/1/2001,3.80%,$147 ,0.015,75,68
Morocco,Africa,12/1/2001,4.40%,$58 ,0.041,70,67
Mozambique,Africa,12/1/2001,5.60%,$12 ,0.109,49,46
Namibia,Africa,12/1/2001,6.20%,$113 ,0.049,56,52
Niger,Africa,12/1/2001,7.40%,$12 ,0.098,51,51
Nigeria,Africa,12/1/2001,4.80%,$18 ,0.11,47,46
Rwanda,Africa,12/1/2001,4.40%,$8 ,0.101,50,48
Sao Tome and Principe,Africa,12/1/2001,10.30%,$52 ,0.056,65,62
Senegal,Africa,12/1/2001,5.00%,$24 ,0.067,60,57
Seychelles,Africa,12/1/2001,4.70%,$356 ,0.012,0,0
Sierra Leone,Africa,12/1/2001,16.00%,$40 ,0.139,40,38
Somalia,Africa,12/1/2001,0,0,0.105,53,50
South Africa,Africa,12/1/2001,8.60%,$223 ,0.053,57,53
South Sudan,Africa,12/1/2001,0,0,0.105,51,48
Sudan,Africa,12/1/2001,3.50%,$16 ,0.067,60,57
Swaziland,Africa,12/1/2001,5.20%,$65 ,0.081,48,47
Tanzania,Africa,12/1/2001,3.50%,$11 ,0.076,51,50
Togo,Africa,12/1/2001,5.20%,$14 ,0.075,54,53
Tunisia,Africa,12/1/2001,5.30%,$122 ,0.024,75,71
Uganda,Africa,12/1/2001,7.20%,$17 ,0.085,49,49
Zambia,Africa,12/1/2001,6.00%,$21 ,0.095,43,42
Zimbabwe,Africa,12/1/2001,0,0,0.06,43,43
Afghanistan,Asia,12/1/2001,0,0,0.093,56,54
Armenia,Asia,12/1/2001,5.90%,$41 ,0.025,75,68
Azerbaijan,Asia,12/1/2001,4.50%,$31 ,0.057,70,64
Bangladesh,Asia,12/1/2001,3.00%,$10 ,0.062,66,66
Bhutan,Asia,12/1/2001,6.20%,$51 ,0.056,61,61
Brunei,Asia,12/1/2001,3.20%,$525 ,0.008,78,74
Cambodia,Asia,12/1/2001,6.20%,$20 ,0.076,66,60
China,Asia,12/1/2001,4.60%,$47 ,0.028,74,71
Georgia,Asia,12/1/2001,7.80%,$54 ,0.029,76,68
Hong Kong SAR,Asia,12/1/2001,0,0,0,85,78
India,Asia,12/1/2001,4.50%,$21 ,0.064,64,61
Indonesia,Asia,12/1/2001,2.20%,$17 ,0.039,70,66
Japan,Asia,12/1/2001,7.80%,"$2,554 ",0.003,85,78
Kazakhstan,Asia,12/1/2001,3.50%,$53 ,0.036,71,61
North Korea,Asia,12/1/2001,0,0,0.039,70,62
South Korea,Asia,12/1/2001,5.00%,$528 ,0.006,80,73
Kyrgyzstan,Asia,12/1/2001,4.80%,$15 ,0.04,73,65
Laos,Asia,12/1/2001,4.10%,$13 ,0.08,64,61
Macao SAR,Asia,12/1/2001,0,0,0,80,76
Malaysia,Asia,12/1/2001,3.30%,$130 ,0.008,75,71
Maldives,Asia,12/1/2001,5.30%,$153 ,0.032,72,70
Mongolia,Asia,12/1/2001,4.60%,$24 ,0.047,67,60
Myanmar,Asia,12/1/2001,2.10%,$2 ,0.057,64,60
Nepal,Asia,12/1/2001,5.30%,$13 ,0.057,64,62
Pakistan,Asia,12/1/2001,2.80%,$13 ,0.086,65,63
Philippines,Asia,12/1/2001,3.00%,$29 ,0.03,70,64
Singapore,Asia,12/1/2001,2.40%,$526 ,0.003,80,76
Sri Lanka,Asia,12/1/2001,3.70%,$31 ,0.013,76,68
Tajikistan,Asia,12/1/2001,4.60%,$8 ,0.07,68,60
Thailand,Asia,12/1/2001,3.30%,$61 ,0.018,75,67
Timor-Leste,Asia,12/1/2001,6.20%,$20 ,0.08,62,59
Turkmenistan,Asia,12/1/2001,3.80%,$58 ,0.065,68,60
Uzbekistan,Asia,12/1/2001,5.30%,$24 ,0.052,70,64
Vietnam,Asia,12/1/2001,5.60%,$22 ,0.026,79,69
Albania,Europe,12/1/2001,6.00%,$75 ,0.022,78,72
Andorra,Europe,12/1/2001,5.60%,"$1,294 ",0.004,0,0
Austria,Europe,12/1/2001,10.10%,"$2,406 ",0.005,82,76
Belarus,Europe,12/1/2001,6.60%,$83 ,0.01,75,63
Belgium,Europe,12/1/2001,8.30%,"$1,878 ",0.005,81,75
Bosnia and Herzegovina,Europe,12/1/2001,7.20%,$108 ,0.008,77,73
Bulgaria,Europe,12/1/2001,7.40%,$129 ,0.017,75,69
Croatia,Europe,12/1/2001,7.20%,$376 ,0.007,78,71
Cyprus,Europe,12/1/2001,5.80%,$776 ,0.005,80,76
Czech Republic,Europe,12/1/2001,6.40%,$403 ,0.005,78,72
Denmark,Europe,12/1/2001,9.10%,"$2,730 ",0.005,79,75
Estonia,Europe,12/1/2001,4.90%,$218 ,0.008,76,65
Faeroe Islands,Europe,12/1/2001,0,0,0,82,77
Finland,Europe,12/1/2001,7.40%,"$1,786 ",0.003,82,75
France,Europe,12/1/2001,10.20%,"$2,241 ",0.004,83,76
Germany,Europe,12/1/2001,10.50%,"$2,402 ",0.004,81,76
Greece,Europe,12/1/2001,8.80%,"$1,055 ",0.006,81,76
Hungary,Europe,12/1/2001,7.20%,$374 ,0.009,77,68
Iceland,Europe,12/1/2001,9.30%,"$2,612 ",0.003,83,78
Ireland,Europe,12/1/2001,6.70%,"$1,848 ",0.006,80,75
Isle of Man,Europe,12/1/2001,0,0,0,0,0
Italy,Europe,12/1/2001,8.10%,"$1,590 ",0.004,83,77
Kosovo,Europe,12/1/2001,0,0,0,70,66
Latvia,Europe,12/1/2001,6.20%,$215 ,0.014,77,65
Liechtenstein,Europe,12/1/2001,0,0,0,82,76
Lithuania,Europe,12/1/2001,6.30%,$220 ,0.009,78,66
Luxembourg,Europe,12/1/2001,7.40%,"$3,405 ",0.004,81,75
North Macedonia,Europe,12/1/2001,8.50%,$141 ,0.014,76,71
Malta,Europe,12/1/2001,7.00%,$675 ,0.007,81,77
Moldova,Europe,12/1/2001,7.10%,$29 ,0.024,71,63
Monaco,Europe,12/1/2001,3.30%,"$2,718 ",0.004,0,0
Montenegro,Europe,12/1/2001,8.50%,$160 ,0.012,77,71
Netherlands,Europe,12/1/2001,8.30%,"$2,079 ",0.005,81,76
Norway,Europe,12/1/2001,9.80%,"$3,705 ",0.004,82,76
Poland,Europe,12/1/2001,5.90%,$292 ,0.008,78,70
Portugal,Europe,12/1/2001,9.30%,"$1,087 ",0.005,80,73
Romania,Europe,12/1/2001,4.40%,$79 ,0.022,75,68
Russia,Europe,12/1/2001,5.70%,$119 ,0.019,72,59
San Marino,Europe,12/1/2001,5.20%,"$2,183 ",0.005,84,78
Serbia,Europe,12/1/2001,7.60%,$84 ,0.011,75,70
Slovakia,Europe,12/1/2001,5.50%,$216 ,0.01,78,70
Slovenia,Europe,12/1/2001,8.60%,$883 ,0.004,80,72
Spain,Europe,12/1/2001,7.20%,"$1,089 ",0.005,83,76
Sweden,Europe,12/1/2001,8.90%,"$2,268 ",0.003,82,78
Switzerland,Europe,12/1/2001,10.30%,"$3,748 ",0.005,83,77
Turkey,Europe,12/1/2001,5.20%,$148 ,0.032,74,67
Ukraine,Europe,12/1/2001,5.70%,$44 ,0.015,74,63
United Kingdom,Europe,12/1/2001,7.30%,"$1,819 ",0.006,80,76
Bahrain,Middle East,12/1/2001,3.80%,$488 ,0.011,76,74
Iran,Middle East,12/1/2001,5.10%,$294 ,0.027,71,69
Iraq,Middle East,12/1/2001,1.10%,$8 ,0.035,73,69
Israel,Middle East,12/1/2001,7.90%,"$1,499 ",0.005,81,78
Jordan,Middle East,12/1/2001,9.90%,$184 ,0.023,73,71
Kuwait,Middle East,12/1/2001,3.60%,$634 ,0.011,74,73
Lebanon,Middle East,12/1/2001,10.90%,$571 ,0.016,77,73
Oman,Middle East,12/1/2001,3.10%,$263 ,0.013,75,71
Qatar,Middle East,12/1/2001,2.60%,$732 ,0.01,78,76
Saudi Arabia,Middle East,12/1/2001,4.50%,$397 ,0.019,75,71
Syria,Middle East,12/1/2001,4.90%,$58 ,0.019,75,72
United Arab Emirates,Middle East,12/1/2001,2.50%,$815 ,0.009,76,74
Yemen,Middle East,12/1/2001,4.30%,$27 ,0.067,62,59
American Samoa,Oceania,12/1/2001,0,0,0,0,0
Australia,Oceania,12/1/2001,8.20%,"$1,632 ",0.005,82,77
Fiji,Oceania,12/1/2001,3.30%,$67 ,0.02,70,65
French Polynesia,Oceania,12/1/2001,0,0,0,76,70
Guam,Oceania,12/1/2001,0,0,0,78,73
Kiribati,Oceania,12/1/2001,8.80%,$67 ,0.053,68,62
Marshall Islands,Oceania,12/1/2001,19.40%,$412 ,0.033,0,0
"Micronesia, Fed. Sts.",Oceania,12/1/2001,8.50%,$190 ,0.041,68,67
New Caledonia,Oceania,12/1/2001,0,0,0,78,72
New Zealand,Oceania,12/1/2001,7.70%,"$1,052 ",0.006,81,76
Papua New Guinea,Oceania,12/1/2001,4.50%,$25 ,0.058,61,57
Samoa,Oceania,12/1/2001,5.80%,$79 ,0.018,73,67
Solomon Islands,Oceania,12/1/2001,6.40%,$61 ,0.029,65,62
Tonga,Oceania,12/1/2001,5.70%,$96 ,0.015,73,69
Vanuatu,Oceania,12/1/2001,3.70%,$50 ,0.019,70,66
Antigua and Barbuda,The Americas,12/1/2001,4.40%,$429 ,0.013,76,71
Argentina,The Americas,12/1/2001,9.40%,$676 ,0.018,78,70
Aruba,The Americas,12/1/2001,0,0,0,76,71
"Bahamas, The",The Americas,12/1/2001,5.10%,"$1,107 ",0.013,76,70
Barbados,The Americas,12/1/2001,6.70%,$635 ,0.015,76,71
Belize,The Americas,12/1/2001,4.50%,$160 ,0.021,74,67
Bermuda,The Americas,12/1/2001,0,0,0,81,75
Bolivia,The Americas,12/1/2001,6.30%,$59 ,0.054,65,61
Brazil,The Americas,12/1/2001,7.30%,$228 ,0.027,74,67
Canada,The Americas,12/1/2001,9.30%,"$2,152 ",0.005,82,77
Cayman Islands,The Americas,12/1/2001,0,0,0,0,0
Chile,The Americas,12/1/2001,7.70%,$348 ,0.009,80,74
Colombia,The Americas,12/1/2001,6.00%,$144 ,0.021,75,68
Costa Rica,The Americas,12/1/2001,7.10%,$291 ,0.011,80,76
Cuba,The Americas,12/1/2001,6.30%,$178 ,0.006,79,75
Curacao,The Americas,12/1/2001,0,0,0,0,0
Dominica,The Americas,12/1/2001,5.00%,$236 ,0.013,0,0
Dominican Republic,The Americas,12/1/2001,6.20%,$173 ,0.032,74,68
Ecuador,The Americas,12/1/2001,4.00%,$77 ,0.027,77,71
El Salvador,The Americas,12/1/2001,8.00%,$184 ,0.025,75,65
Greenland,The Americas,12/1/2001,0,0,0,70,65
Grenada,The Americas,12/1/2001,7.60%,$392 ,0.013,73,68
Guatemala,The Americas,12/1/2001,6.40%,$105 ,0.039,72,65
Guyana,The Americas,12/1/2001,5.80%,$54 ,0.038,67,60
Haiti,The Americas,12/1/2001,5.60%,$23 ,0.073,59,56
Honduras,The Americas,12/1/2001,6.90%,$83 ,0.03,73,68
Jamaica,The Americas,12/1/2001,5.10%,$178 ,0.02,74,68
